#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eunuch;Eunuch;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
EVTDESCLoR.867;News have arrived from the Black Sea! One of your spies succeeded in infiltrating the pirate fleet, and has spent the past month as an oarsman on one of their galleys. Information about the origins of their miraculous "sea fire" was apparently restricted to their ranking officers, and he never did manage to learn the location of their hideout.\n\nThere is good news, however. He brought a prisoner with him when he escaped from their fleet: a woman named Eleni. Your spy tells you this old hag has quite the temperament, and that she claims to be the wife of the pirate king himself, a man named Kyrillos. If this is true, you may have gained a hostage worth her weight in gold...;Des nouvelles sont arrivées de la mer Noire ! Un de vos espions a infiltré avec succès la flotte pirate et a passé le dernier mois comme rameur sur l'une des galères. L'information à propos de l'origine de ce miraculeux ''feu de mer'' semble restreinte au;Neuigkeiten vom Schwarzen Meer sind eingetroffen! Einer Eurer Spione hat erfolgreich die Piratenflotte infiltriert und den letzten Monat als Ruderer auf einer ihrer Galeeren verbracht. Informationen über die Herkunft des mysteriösen "Meeresfeuers" sind an;;¡Han llegado noticias del Mar Negro! Uno de tus espías ha conseguido infiltrarse en la flota pirata, y ha estado todo el mes pasado como remero en una de sus galeras. La información sobre los orígenes de su milagroso “fuego de mar” está aparentemente restringida a sus oficiales de rango, y no ha conseguido aprender la localización de su escondite. \n\nAún así, son buenas noticias cuando escapó se trajo consigo a una prisionera: una mujer llamada Eleni. Tu espía te dice que esta vieja bruja tiene bastante carácter y declara ser la esposa del rey de los piratas, un hombre llamado Kyrillos. Si es eso cierto, puedes haber conseguido una rehén que vale su peso en oro...;;;;;;;;;x
EVTDESCLoR.868;News have arrived from the Black Sea! Your Spymaster presents a sack that was delivered earlier today by an anonymous courier. Its contents are poured out on the table in front of you: the severed heads of every single operative you sent to infiltrate the pirate fleet.\n\nClearly you are not dealing with a band of simple cutthroats. These pirates represent a serious security threat to the entire Empire. Something must be done!;Des nouvelles sont arrivées de la mer Noire ! Votre maître-espion vous présente un sac qui a été livré plus tôt dans la journée, de façon anonyme. Son contenu est vidé sur la table devant vous : les têtes décapitées de chacun des agents que vous avez envo;Neuigkeiten vom Schwarzen Meer sind eingetroffen! Euer Meisterspion präsentiert Euch einen Sack, der heute früh von einem anonymen Boten geliefert wurde. Sein Inhalt wird vor Euch auf den Tisch entleert: die abgetrennten Köpfe eines jeden einzelnen Agente;;¡Han llegado noticias del Mar Negro! El jefe de tus espías te da un saco que un mensajero anónimo ha entregado hoy temprano. Su contenido se derrama sobre la mesa: las cabezas cortadas de cada uno de los agentes que enviaste para inflirtarse en la flota pirata. \n\nEs evidente que no estás tratando con una banda de simples asesinos. Estos piratas representan una seria amenaza para la seguridad de todo el Imperio. ¡Hay que hacer algo!;;;;;;;;;x
EVTTOOLTIPLoR.869;You await further developments.;Vous attendez de nouveaux développements.;Ihr wartet die weitere Entwicklung ab.;;Esperas nuevos avances.;;;;;;;;;x
EVTNAMELoR.869;The Letter;La Lettre;Der Brief;;La Carta;;;;;;;;;x
EVTDESCLoR.869;A letter was found this morning nailed to the doors of the Great Palace. It appears to have been written in blood, presumably from the dead palace guard left impaled on a spear in the garden. It reads:\n\n"You have something of mine, and I have something of yours. I propose a trade. On the back of this letter you will find a map to a small island in the Aegean. Bring my Despina, and I will bring the formula of your liquid fire as well as the only alchemist left alive with the knowledge to produce it.\n\nSigned,\nKing Kyrillos the Magnanimous";Une lettre a été trouvée ce matin, clouée aux portes du Grand Palais. Elle semble écrite avec du sang, probablement celui d'un garde du palais qu'on a retrouvé empalé sur une lance dans le jardin. On y lit :\n\n''Vous avez quelque chose qui m'appartient, ;Ein Brief wurde heute Morgen gefunden, der an die Tore des  Großen Palastes genagelt war. Er scheint mit Blut geschrieben zu sein, das vermutlich von der toten Palastwache stammt, die, aufgespießt auf einem Speer, im Garten zurückgelassen wurde. Darin ste;;Una carta ha sido encontrada esta mañana clavada en las puertas del Gran Palacio. Parece haber sido escrita con sangre, presumiblemente con la sangre del guardia de palacio, que ha sido encontrado muerto atravesado por una lanza en el jardín. La carta dice: \n\n“Tú tienes algo que es mío, y yo tengo algo tuyo, te propongo un trato. En el reverso de esta carta encontrarás el mapa de una pequeña isla en el mar Egeo. Trae mi Despina, y yo llevaré la formula de tu fuego líquido así como el único alquimista vivo que sabe cómo elaborarlo. \n\nSignado, \n\nel Rey Kyrillos el Magnánimo”;;;;;;;;;x
EVTOPTALoR.869;An excellent opportunity for an ambush...;Une excellente occasion pour une embuscade...;Eine exzellente Gelegenheit für einen Hinterhalt …;;Una excelente oportunidad para una emboscada ...;;;;;;;;;x
EVTOPTBLoR.869;I cannot risk backstabbing this man.;Trahir cet homme serait trop risqué.;Ich kann es nicht riskieren, diesem Mann in den Rücken zu fallen.;;No puedo arriesgarme a apuñalar ese hombre por la espalda.;;;;;;;;;x
EVTDESCLoR.870;A letter was found this morning nailed to the doors of the Great Palace. It appears to have been written in blood, presumably from the dead palace guard left impaled on a spear in the garden. It reads:\n\n"Enough games, [Root.GetTitle]. I am in possession of something you want, and you must realize by now that it cannot be seized by force of arms. I propose a trade. On the back of this letter you will find a map to a small island in the Aegean. Bring plenty of gold, and I will bring the formula of your liquid fire as well as the last surviving alchemist with the knowledge to produce it.\n\nSigned,\nKing Kyrillos the Magnanimous";Une lettre a été trouvée ce matin, clouée aux portes du Grand Palais. Elle semble écrite avec du sang, probablement celui d'un garde du palais qu'on a retrouvé empalé sur une lance dans le jardin. On y lit :\n\n''Trêve de plaisanteries, [Root.GetTitle]. J;Ein Brief wurde heute Morgen gefunden, der an die Tore des  Großen Palastes genagelt war. Er scheint mit Blut geschrieben zu sein, das vermutlich von der toten Palastwache stammt, die, aufgespießt auf einem Speer, im Garten zurückgelassen wurde. Darin ste;;Una carta ha sido encontrada esta mañana clavada en las puertas del Gran Palacio. Parece haber sido escrita con sangre, presumiblemente con la sangre del guardia de palacio, que ha sido encontrado muerto atravesado por una lanza en el jardín. La carta dice: \n\n“ Basta de juegos, [Root.GetTitle]. Tengo algo que tu quieres, y a estas alturas ya te debes haber dado cuenta que no lo puedes conseguir por la fuerza. Te propongo un trato. En el reverso de esta carta encontrarás el mapa de una pequeña isla en el mar Egeo. Ven cargado de oro y yo llevaré la formula de tu fuego líquido así como el único alquimista vivo que sabe cómo elaborarlo. \n\nSignado, \n\nel Rey Kyrillos el Magnánimo”;;;;;;;;;x
EVTTOOLTIPLoR.872;You prepare an ambush for the pirate king.;Vous préparez une embuscade pour le roi pirate.;Ihr bereitet einen Hinterhalt für den König der Piraten vor.;;Planeas tender una emboscada al rey pirata.;;;;;;;;;x
EVTNAMELoR.872;The Deal;Le Marché;Der Handel;;El Acuerdo;;;;;;;;;x
EVTDESCLoR.872;You set sail with a small fleet for the island Kyrillos indicated in his letter. As you draw near, you order the rest of your ships to disperse and cover any potential escape routes while you approach with your flagship. The pirate king has already arrived at the small, barren island and you make your landing with Despina and a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"Release the girl," he bellows. "Ye shall get yer alchemist and formula back, on my honor." The pirates push a frail old man holding a scroll forwards, and you do the same with Kyrillos' daughter. "My apologies about the warehouse and docks," the pirate king says with a smile. "We had to cover our tracks." With the deal concluded, both groups depart on their ships.;Vous prenez la mer avec une petite flotte vers l'île que Kyrillos a indiquée dans sa lettre. En arrivant tout près, vous ordonnez aux autres navires de se disperser afin de couvrir toute potentielle voie de fuite pendant que vous approchez, tout en arbora;Ihr stecht mit einer kleinen Flotte, wie in seinem Brief angegeben, in Richtung der Insel Kyrillos in See. Als Ihr Euch nähert, gebt Ihr den verbliebenen Schiffen den Befehl, sich aufzuteilen und alle möglichen Fluchtwege abzudecken, während Ihr Euch mit ;;Con una pequeña flota zarpas hacia la isla que Kyrillos indicaba en su carta. A medida que os acercáis, ordenas al resto de tus naves que se dispersen para cubrir cualquier posible huida mientras te acercas con tu buque insignia. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Despina y un reducido destacamento de fieles Guardas varegas en una pequeña orilla. \n\n“Libera a la chica”, Kyrillos grita desde donde se encuentra rodeado de sus bandoleros. “Vos recuperaréis vuestro alquimista y la fórmula, por mi honor.” Los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito. Y tú haces lo mismo con la hija de Kyrillos. “Mis disculpas por lo del almacén y los muelles” Dice el rey pirata dibujando una sonrisa. “Teníamos que borrar nuestras huellas”. Con el intercambio concluido, ambos grupos vuelven a sus respectivos barcos.;;;;;;;;;x
EVTOPTALoR.872;The deal is concluded.;Le marché est conclu.;Der Handel ist abgeschlossen.;;El acuerdo es concluido;;;;;;;;;x
EVTTOOLTIPLoR.873;You decide to follow the pirate's instructions to the letter.;Vous décidez de suivre les instructions du pirate à la lettre.;Ihr entscheidet Euch, den Anweisungen im Brief des Piraten zu folgen.;;Decides seguir las instrucciones que hay en la carta de el pirata.;;;;;;;;;x
EVTDESCLoR.873;You set sail with your flagship for the island Kyrillos indicated in his letter. The pirate king has already arrived at the small, barren island and you make your landing with Despina and a small shore party of trusted Varangian Guardsmen.\n\n"Release the girl," Kyrillos bellows from where he stands surrounded by his brigands. "Ye shall get yer alchemist and formula back, on my honor." The pirates push a frail old man holding a scroll forwards, and you do the same with Kyrillos' daughter. "My apologies about the warehouse and docks," the pirate king says with a smile. "We had to cover our tracks." With the deal concluded, both groups depart on their ships.;Vous prenez la mer avec votre vaisseau vers l'île que Kyrillos a indiquée dans sa lettre. Le roi pirate est déjà sur cette petite île aride et vous débarquez avec Despina et un groupe de gardes varègues fiables. Kyrillos est là, debout, entouré de ses bri;Ihr stecht mit Eurem Flaggschiff, wie in seinem Brief angegeben, in Richtung der Insel Kyrillos in See. Der Piratenkönig ist bereits auf der kleinen, kahlen Insel eingetroffen und Ihr landet mit Despina und einer kleinen Landetruppe vertrauenswürdiger War;;Embarcas con tu buque insignia en busca de la isla indicada en la carta de Kyrillos. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Despina y un reducido destacamento de fieles Guardas de varega en una pequeña orilla. \n\n“Libera a la chica”, Kyrillos grita desde donde se encuentra rodeado de sus bandoleros. “Vos recuperaréis vuestro alquimista y la fórmula, por mi honor.” Los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito. Y tú haces lo mismo con la hija de Kyrillos. “Mis disculpas por lo del almacén y los muelles” Dice el rey pirata dibujando una sonrisa. “Teníamos que borrar nuestras huellas”. Con el intercambio concluido, ambos grupos vuelven a sus respectivos barcos.;;;;;;;;;x
EVTDESCLoR.874;You set sail with a small fleet for the island Kyrillos indicated in his letter. As you draw near, you order the rest of your ships to disperse and cover any potential escape routes while you approach with your flagship. The pirate king has already arrived at the small, barren island and you make your landing with Eleni and a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"I see ye brought my wife," Kyrillos says. "If ye think ye can barter with her, ye will be disappointed. But I will lower the ransom by one third if ye promise to keep her." Eleni objects loudly at this, but the pirates push a frail old man holding a scroll forwards, and you grudgingly provide the ransom. With the deal concluded, you take Eleni back to your ship and both groups depart.;Vous prenez la mer avec une petite flotte vers l'île que Kyrillos a indiquée dans sa lettre. En arrivant tout près, vous ordonnez aux autres navires de se disperser afin de couvrir toute potentielle voie de fuite pendant que vous approchez, tout en arbora;Ihr stecht mit einer kleinen Flotte, wie in seinem Brief angegeben, in Richtung der Insel Kyrillos in See. Als Ihr Euch nähert, gebt Ihr den verbliebenen Schiffen den Befehl, sich aufzuteilen und alle möglichen Fluchtwege abzudecken, während Ihr Euch mit ;;Con una pequeña flota zarpas hacia la isla que Kyrillos indicaba en su carta. A medida que os acercáis, ordenas al resto de tus naves que se dispersen para cubrir cualquier posible huida mientras te acercas con tu buque insignia. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Eleni y un reducido destacamento de fieles guardas de varega en una pequeña orilla. Kyrillos está rodeado por sus bandidos. \n\n“Ya veo que habéis  traído a mi esposa”, dice Kyrillos. “Si creéis que podéis hacer un trueque con ella quedaréis muy decepcionado. Pero puedo bajar un tercio el precio del rescate si prometéis llevarla”. Eleni protesta ruidosamente, y los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito, mientras tú, a regañadientes, preparas el rescate. Con el acuerdo concluido, te llevas de vuelta a Eleni a tu barco y ambos grupos zarpan.;;;;;;;;;x
EVTDESCLoR.875;You set sail with your flagship for the island Kyrillos indicated in his letter. The pirate king has already arrived at the small, barren island and you make your landing with Eleni and a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"I see ye brought my wife," Kyrillos says. "If ye think ye can barter with her, ye will be disappointed. But I will lower the ransom by one third if ye promise to keep her." Eleni objects loudly at this, but the pirates push a frail old man holding a scroll forwards, and you grudgingly provide the ransom. With the deal concluded, you take Eleni back to your ship and both groups depart.;Vous prenez la mer avec votre vaisseau vers l'île que Kyrillos a indiquée dans sa lettre. Le roi pirate est déjà sur cette petite île aride et vous débarquez avec Eleni et un groupe de gardes varègues fiables. Kyrillos est là, debout, entouré de ses briga;Ihr stecht mit Eurem Flaggschiff, wie in seinem Brief angegeben, in Richtung der Insel Kyrillos in See. Der Piratenkönig ist bereits auf der kleinen, kahlen Insel eingetroffen und Ihr landet mit Eleni und einer kleinen Landetruppe vertrauenswürdiger Waräg;;Embarcas con tu buque insignia en busca de la isla indicada en la carta de Kyrillos. A medida que os acercáis, ordenas al resto de tus naves que se dispersen para cubrir cualquier posible huida mientras te acercas con tu buque insignia. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Eleni y un reducido destacamento de fieles guardas Varanguianos en una pequeña orilla. Kyrillos está rodeado por sus bandidos. “Ya veo que habéis  traído a mi esposa”, dice Kyrillos. “Si creéis que podéis hacer un trueque con ella quedaréis muy decepcionado. Pero puedo bajar un tercio el precio del rescate si prometéis llevarla”. Eleni protesta ruidosamente, y los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito, mientras tu preparas, a regañadientes, el rescate. Con el acuerdo concluido, te llevas de vuelta a Eleni a tu barco y ambos grupos zarpan.;;;;;;;;;x
EVTDESCLoR.876;You set sail with a small fleet for the island Kyrillos indicated in his letter. As you draw near, you order the rest of your ships to disperse and cover any potential escape routes while you approach with your flagship. The pirate king has already arrived at the small, barren island and you make your landing with a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"I hope ye brought plenty of gold," Kyrillos says. "The secret of Greek fire is an expensive one, but I'm sure ye know its value better than anyone." The pirates push a frail old man holding a scroll forwards, and you grudgingly provide the ransom. With the deal concluded, both groups depart on their ships.;Vous prenez la mer avec une petite flotte vers l'île que Kyrillos a indiquée dans sa lettre. En arrivant tout près, vous ordonnez aux autres navires de se disperser afin de couvrir toute potentielle voie de fuite pendant que vous approchez, tout en arbora;Ihr stecht mit einer kleinen Flotte, wie in seinem Brief angegeben, in Richtung der Insel Kyrillos in See. Als Ihr Euch nähert, gebt Ihr den verbliebenen Schiffen den Befehl, sich aufzuteilen und alle möglichen Fluchtwege abzudecken, während Ihr Euch mit ;;Con una pequeña flota zarpas hacia la isla que kyrillos indicaba en su carta. A medida que os acercáis, ordenas al resto de tus naves que se dispersen para cubrir cualquier posible huida mientras te acercas con tu buque insignia. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con un reducido destacamento de fieles Guardas varega en una pequeña orilla. Kyrillos está rodeado por sus bandidos. \n\n“Espero que hayáis venido cargado de oro” Te dice Kirillos. “El secreto del Fuego Griego es un secreto caro, pero estoy seguro que vos conocéis más que nadie su valor”. Los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito, mientras tú preparas el rescate a regañadientes. Con el acuerdo concluido, vuelves a tu barco y ambos grupos zarpan.;;;;;;;;;x
EVTDESCLoR.877;You set sail with your flagship for the island Kyrillos indicated in his letter. The pirate king has already arrived at the small, barren island and you make your landing with a small shore party of trusted Varangian Guardsmen. Kyrillos stands surrounded by his brigands.\n\n"I hope ye brought plenty of gold," Kyrillos says. "The secret of Greek fire is an expensive one, but I'm sure ye know its value better than anyone." The pirates push a frail old man holding a scroll forwards, and you grudgingly provide the ransom. "My apologies about the warehouse and docks," the pirate king says with a smile. "We had to cover our tracks." With the deal concluded, both groups depart on their ships.;Vous prenez la mer avec votre vaisseau vers l'île que Kyrillos a indiquée dans sa lettre. Le roi pirate est déjà sur cette petite île aride et vous débarquez avec un groupe de gardes varègues fiables. Kyrillos est là, debout, entouré de ses brigands.\n\n';Ihr stecht mit Eurem Flaggschiff, wie in seinem Brief angegeben, in Richtung der Insel Kyrillos in See. Der Piratenkönig ist bereits auf der kleinen, kahlen Insel eingetroffen und Ihr landet mit einer kleinen Landetruppe vertrauenswürdiger Warägerwachen. ;;Embarcas con tu buque insignia en busca de la isla indicada en la carta de Kyrillos. El rey pirata ya ha llegado a la pequeña y yerma isla y tú debes desembarcar con Despina y un reducido destacamento de fieles Guardas de varega en una pequeña orilla. \n\n“Libera a la chica”, Kyrillos grita desde donde se encuentra rodeado de sus bandoleros. “Vos recuperaréis vuestro alquimista y la fórmula, por mi honor.” Los piratas empujan hacia adelante a un débil anciano que sujeta un manuscrito. Y tú haces lo mismo con la hija de Kyrillos. “Mis disculpas por lo del almacén y los muelles” Dice el rey pirata dibujando una sonrisa. “Teníamos que borrar nuestras huellas”. Con el intercambio concluido, ambos grupos vuelven a sus respectivos barcos.;;;;;;;;;x
EVTTOOLTIPLoR.878;Your ship hoists its sails.;Votre navire lève les voiles.;Euer Schiff hisst die Segel.;;Tu barco iza sus velas.;;;;;;;;;x
ship_hoists_sails;Your ship hoists its sails.;Votre navire lève les voiles.;Euer Schiff hisst die Segel.;;Tu barco iza sus velas.;;;;;;;;;x
liquid_fire_settled;This affair has been settled.;Cette affaire est réglée.;Diese Angelegenheit ist geklärt.;;Este asunto ha sido resuelto.;;;;;;;;;x
EVTNAMELoR.878;Returning Home;Le Retour à la maison;Heimkehr;;Volviendo a casa;;;;;;;;;x
EVTDESCLoR.878;You set course for Constantinople and your men confirm that the old man is indeed one of the missing alchemists. The formula he brought also seems genuine. Before you reach the Dardanelles you meet up with the rest of your fleet. The ambush you planned was a success! They managed to intercept Kyrillos and his galley, and after a fierce struggle they captured both the pirate king and his daughter.\n\nWith the secrets of liquid fire safely returned to the Empire, and with the criminals who stole it tied up in the hold of your ship, it seems this matter can finally be put to rest. As you approach the Bosphorus and the shining city of Constantinople comes into view, you take a deep breath of fresh sea air. It is good to be [Root.GetTitle].;Vous vous dirigez vers Constantinople et vos hommes confirment que le vieil homme est vraiment l'un des alchimistes manquants. La formule qu'il a apportée semble aussi être authentique. Vous rencontrez le reste de la flotte un peu avant les Dardanelles. L;Ihr nehmt Kurs auf Konstantinopel und Eure Männer bestätigen, dass der alte Mann tatsächlich einer der vermissten Alchemisten ist. Auch die Formel, die er dabei hat, scheint echt zu sein. Bevor Ihr die Dardanellen erreicht, trefft Ihr auf den Rest Eurer F;;Pones rumbo a Constantinopla y tus hombres confirman que el viejo es, de hecho, uno de los alquimistas desaparecidos. La fórmula que trajo también parece auténtica. Antes de llegar a Dardanelos te juntas con el resto de su flota. ¡La emboscada que planeaste fue un éxito! Se las arreglaron para interceptar Kyrillos y su galera, y después de una lucha feroz capturaron el rey pirata y su hija.\n\nCon los secretos del fuego líquido devueltos y puestos a salvo en el Imperio, y con los criminales que los robaron atados en la bodega de tu barco, parece que este asunto puede finalmente cerrarse. Al aproximarte a Bósforo y cuando la reluciente ciudad de Constantinopla está ya a la vista, respiras profundamente aire fresco del mar. Está bien ser [Root.GetTitle].;;;;;;;;;x
EVTOPTALoR.878;Bring us in to dock.;Emmenez-nous au quai.;Bringt uns zum Kai.;;Llévanos al muelle.;;;;;;;;;x
EVTDESCLoR.879;You set course for Constantinople and your men confirm that the old man is indeed one of the missing alchemists. The formula he brought also seems genuine. Before you reach the Dardanelles you meet up with the rest of your fleet. The ambush you planned was a success! They managed to intercept Kyrillos and his galley, and after a fierce struggle they captured both the pirate king and the ransom.\n\nWith the secrets of liquid fire safely returned to the Empire, and with the criminal who stole it tied up in the hold of your ship, it seems this matter can finally be put to rest. As you approach the Bosphorus and the shining city of Constantinople comes into view, you take a deep breath of fresh sea air. It is good to be [Root.GetTitle].;Vous vous dirigez vers Constantinople et vos hommes confirment que le vieil homme est vraiment l'un des alchimistes manquants. La formule qu'il a apportée semble aussi être authentique. Vous rencontrez le reste de la flotte un peu avant les Dardanelles. L;Ihr nehmt Kurs auf Konstantinopel und Eure Männer bestätigen, dass der alte Mann tatsächlich einer der vermissten Alchemisten ist. Auch die Formel, die er dabei hat, scheint echt zu sein. Bevor Ihr die Dardanellen erreicht, trefft Ihr auf den Rest Eurer F;;Pones rumbo a Constantinopla y tus hombres confirman que el viejo es, de hecho, uno de los alquimistas desaparecidos. La fórmula que trajo también parece auténtica. Antes de llegar a Dardanelos te juntas con el resto de su flota. ¡La emboscada que planeaste fue un éxito! Se las arreglaron para interceptar Kyrillos y su galera, y después de una lucha feroz capturaron el rey pirata y un gran botín.\n\nCon los secretos del fuego líquido devueltos y puestos a salvo en el Imperio, y con el criminal que los robó atado en la bodega de tu barco, parece que este asunto puede finalmente cerrarse. Al aproximarte a Bósforo y cuando la reluciente ciudad de Constantinopla está ya a la vista, respiras profundamente  aire fresco del mar. Está bien ser [Root.GetTitle].;;;;;;;;;x
EVTDESCLoR.880;You set course for Constantinople and your men confirm that the old man is indeed one of the missing alchemists. The formula he brought also seems genuine. Before you reach the Dardanelles you meet up with the rest of your fleet... or what remains of it. The ambush you planned was a failure, as they in turn were ambushed by Kyrillos' fleet! Only a few ships managed to escape and any hope of capturing the pirate king has now been lost.\n\nThe secrets of liquid fire have been returned to the Empire, but only at great cost. It is with a heavy heart you approach the Bosphorus. When Constantinople comes into view, the sky behind the great city is covered in dark stormclouds. Being [Root.GetTitle] is not all it was cracked up to be.;Vous vous dirigez vers Constantinople et vos hommes confirment que le vieil homme est vraiment l'un des alchimistes manquants. La formule qu'il a apportée semble aussi être authentique. Un peu avant les Dardanelles, vous rencontrez le reste de la flotte..;Ihr nehmt Kurs auf Konstantinopel und Eure Männer bestätigen, dass der alte Mann tatsächlich einer der vermissten Alchemisten ist. Auch die Formel, die er dabei hat, scheint echt zu sein. Bevor Ihr die Dardanellen erreicht, trefft Ihr auf den Rest Eurer F;;Pones rumbo a Constantinopla y tus hombres confirman que el viejo es, de hecho, uno de los alquimistas desaparecidos. La fórmula que trajo también parece auténtica. Antes de llegar a Dardanelos te juntas con el resto de su flota... o lo que queda de ella. ¡La emboscada que planeaste fue un fracaso dado que a su vez, la flota de Kyrillos preparó otra emboscada! Solamente unos pocos barcos lograron escapar y se perdió cualquier esperanza de capturar al rey pirata. \n\n Los secretos del fuego líquido han sido devueltos al Imperio pero pagando un precio muy elevado. Acongojado, te aproximas a Bósforo. Cuando empiezas a ver Constantinopla, el cielo de la gran ciudad está cubierto de oscuros nubarrones. Ser [Root.GetTitle] no es en absoluto tan bueno como lo pintan.;;;;;;;;;x
EVTDESCLoR.881;You set course for Constantinople and your men confirm that the old man is indeed one of the missing alchemists. The formula he brought also seems genuine. While it pains you greatly to give in to the demands of criminals, you simply could not see any alternative way of solving this matter.\n\nThe secrets of liquid fire have been returned to the Empire, but only at great cost. It is with a heavy heart you approach the Bosphorus. When Constantinople comes into view, the sky behind the great city is covered in dark stormclouds. Being [Root.GetTitle] is not all it was cracked up to be.;Vous vous dirigez vers Constantinople et vos hommes confirment que le vieil homme est vraiment l'un des alchimistes manquants. La formule qu'il a apportée semble aussi être authentique. Alors que vous souffrez grandement d'avoir eu à accéder aux demandes ;Ihr nehmt Kurs auf Konstantinopel und Eure Männer bestätigen, dass der alte Mann tatsächlich einer der vermissten Alchemisten ist. Auch die Formel, die er dabei hat, scheint echt zu sein. Auch wenn es Euch schmerzt, dass Ihr den Forderungen eines Kriminel;;Pones rumbo a Constantinopla y tus hombres confirman que el viejo es, de hecho, uno de los alquimistas desaparecidos. La fórmula que trajo también parece auténtica. Aunque te duele enormemente haber cedido frente a las demandas de los criminales, simplemente no pudiste encontrar ninguna alternativa para solucionar el asunto. \n\n Los secretos del fuego líquido han sido devueltos al Imperio pero pagando un precio muy elevado. Acongojado, te aproximas a Bosphorus. Cuando empiezas a ver Constantinopla, el cielo de la gran ciudad está cubierto de oscuros nubarrones. Ser [Root.GetTitle] no es en absoluto tan bueno como lo pintan.;;;;;;;;;x
EVTDESCLoR.885;A large merchant caravan from distant lands has arrived at the gates of your stronghold. Their leader, a jovial man of massive girth, pleads with you in a strange accent to grant them shelter from the elements for the night.;Une grande caravane marchande venue de loin se présente aux portes de votre forteresse. Leur chef, un homme jovial et corpulent, vous implore avec un étrange accent de bien vouloir lui offrir, ainsi qu'à ses compagnons, un abri pour la nuit.;Eine große Händlerkaravane aus fernen Ländern ist vor den Toren Eurer Festung angekommen. Ihr Führer, ein heiterer Mann mit einem gewaltigen Körperumfang, bittet Euch mit einem fremden Akzent, ihnen für die Nacht Schutz vor den Elementen zu gewähren.;;Una gran caravana de mercaderes de tierras lejanas ha llegado a las puertas de tu fortaleza. Su líder, un hombre jovial de gran corpulencia, te suplica en un acento extraño, que les concedas refugio para resguardarse de las inclemencias de la noche.;;;;;;;;;x
EVTOPTALoR.885;Very well. Let them in.;Très bien. Laissez-les entrer.;Nun gut. Lasst sie herein.;;Muy bien. Déjales entrar.;;;;;;;;;x
EVTOPTBLoR.885;No, these peddlers may sleep in a ditch for all I care.;Non, ces colporteurs peuvent bien dormir dans un fossé, je n'en ai cure.;Nein, diese Hausierer können von mir aus im Graben schlafen.;;No, estos comerciantes pueden dormir en cualquier parte.;;;;;;;;;x
send_merchants_away;You send the merchants away.;Vous renvoyez les marchands.;Ihr schickt die Kaufleute fort.;;Echas a los comerciantes.;;;;;;;;;x
EVTTOOLTIPLoR.886;The merchant caravan spends the night within your walls.;La caravane marchande passe la nuit dans votre enceinte.;Die Karavane der Kaufleute verbringt die Nacht innerhalb Eurer Mauern.;;La caravana de mercaderes pasa la noche dentro de los muros de Palacio.;;;;;;;;;x
EVTDESCLoR.886;As evening falls, the fat merchant sits by the fire and regales you and the rest of the court with stories of his travels. His appetite seems insatiable, but as you do not wish to prove a poor host, you order your servants to bring in a second serving.;Le soir venu, le gros marchand s'assoit près du feu et vous régale, vous et le reste de la cour, de récits de voyages. Son appétit semble insatiable, mais comme vous ne voulez pas paraître pour un hôte pauvre, vous ordonnez à vos serviteurs de lui apporte;Als der Abend hereinbricht, sitzt der dicke Kaufmann am Feuer und unterhält Euch und den Rest des Hofes mit Geschichten seiner Reisen. Sein Appetit scheint unersättlich zu sein, doch da Ihr nicht den Eindruck eines schlechten Gastgebers erwecken wollt, be;;Cuando cae la noche, el gordo comerciante se sienta junto al fuego y os obsequia a tí y al resto de la corte con historias de sus viajes. Su apetito parece insaciable, pero como no quieres quedar mal, ordenas a tus sirvientes que le sirvan otra ración.;;;;;;;;;x
EVTOPTALoR.886;Tell us more about this mythical realm of Hindustan.;Dites-m'en plus sur ce royaume mythique de Hindoustan.;Erzählt uns mehr über dieses mysteriöse Reich der Hindustani.;;Cuéntanos más acerca de este mítico reino de Indostán.;;;;;;;;;x
eunuch_offer;The merchant continues his tales.;Le marchand continue ses histoires.;Der Kaufmann fährt mit seiner Geschichte fort.;;El comerciante continúa sus cuentos.;;;;;;;;;x
