#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
silkroad.440.desc;While browsing one merchant’s merchandise at the fair, you come across some rather fine haircloth - that is, a stiff fabric typically made from horse or camel hair. Though hardy and practical, haircloth tends to be ugly, but this one doesn’t look too bad. When the merchant tells you the cloth comes from Baluka, a kingdom renowned for its haircloth, you consider buying it.;En parcourant la marchandise d'un marchand à la foire, vous croiserez un tissu plutôt fin, c'est-à-dire un tissu rigide typiquement fait de poils de cheval ou de chameau. Bien que robuste et pratique, le tissu à cheveux a tendance à être laid, mais celui-ci n'a pas l'air si mal. Quand le marchand vous dit que le tissu vient de Baluka, un royaume réputé pour son tissu à cheveux, vous envisagez de l'acheter.;;;;;;;;;;x
silkroad.440.a;Yes, it will do. Can’t be wearing fine silks all the time.;Oui, ça fera l'affaire. Je ne peux pas porter de la soie fine tout le temps.;;;;;;;;;;;;x
silkroad.440.b;No, on second thought, I don’t need this.;Non, à bien y réfléchir, je n'ai pas besoin de ça.;;;;;;;;;;;;x
silkroad.441.desc;The size of those watermelons! So large, so round, so juicy! You hurry over to the merchant and ask him about the watermelons. He says they are from the farms around Samarkand. No surprise, then, where else could anyone find such lovely round melons? He said it was a difficult journey, hauling them over to [VIET_sogdian_fair_location.GetName] from Samarkand, but says judging by his profits so far it was worth it.;La taille de ces pastèques ! Si grand, si rond, si juteux ! Dépêchez-vous d'aller voir le marchand et de lui poser des questions sur les pastèques. Il dit qu'ils viennent des fermes autour de Samarkand. Pas de surprise, alors, où pourrait-on trouver de si beaux melons ronds ? Il a dit que c'était un voyage difficile, les transporter jusqu'à [VIET_sogdian_fair_location.GetName] de Samarkand, mais à en juger par ses profits jusqu'à présent, cela en valait la peine.;;;;;;;;;;x
silkroad.441.a;Now let me buy some!;Maintenant, laissez-moi en acheter !;;;;;;;;;;;;x
silkroad.441.b;As much as I want these watermelons, I have to save my money.;Même si je veux ces pastèques, je dois économiser mon argent.;;;;;;;;;;;;x
silkroad.442.desc;You have spent much of the day at the fair, and are very thirsty, when you hear one of the vendors cry out: “Get your pomegranate juice here! Fresh, authentic pomegranate juice from Khudjend!” Interested, you hurry over and ask the vendor about his pomegranate juice. “I make mine from a recipe my mother taught me years ago. It’s a secret, though!”;Vous avez passé une grande partie de la journée à la foire, et vous avez très soif, quand vous entendez l'un des vendeurs crier : "Apportez votre jus de grenade ici ! Du jus de grenade frais et authentique de Khudjend !" Intéressé, vous vous dépêchez-vous et demandez au vendeur son jus de grenade. "Je fais la mienne à partir d'une recette que ma mère m'a apprise il y a des années. Mais c'est un secret !";;;;;;;;;;x
silkroad.442.a;Sounds good, sounds good, now I’ll have some please.;Ça a l'air bien, ça a l'air bien, maintenant je vais en prendre s'il vous plaît.;;;;;;;;;;;;x
silkroad.442.b;It’s pomegranate juice, how hard can it be? Anyways, I’ll buy some.;C'est du jus de grenade, ça ne peut pas être si dur. De toute façon, j'en achèterai.;;;;;;;;;;;;x
silkroad.443.desc;Walking around the fair is exhausting, so I’ve decided to visit some of the food and drink vendors to see what they offer. One vendor is selling a rather strange-looking beverage. When inquired about it, he says it is a traditional Kipchak drink made from fermented honey. He learned how to make it when he traveled to the lands of the Kipchak nomads.;J'ai donc décidé de rendre visite à certains des vendeurs de nourriture et de boissons pour voir ce qu'ils offrent. Un vendeur vend une boisson plutôt étrange. Lorsqu'on lui en parle, il dit qu'il s'agit d'une boisson traditionnelle Kipchak faite de miel fermenté. Il a appris à le faire lorsqu'il s'est rendu sur les terres des nomades Kipchak.;;;;;;;;;;x
silkroad.443.a;I see. I’ll have some.;Je vois. Je vais en prendre.;;;;;;;;;;;;x
silkroad.443.b;Are you sure you’re making it right? I have Kipchak blood you know.;Vous êtes sûr d'avoir raison ? J'ai du sang de Kipchak, vous savez.;;;;;;;;;;;;x
silkroad.443.c;Hmm. On second thought, never mind.;Hmm. En y repensant, peu importe.;;;;;;;;;;;;x
silkroad.444.desc;An old scholar is here in [VIET_sogdian_fair_location.GetName] at the fair. He offers to sell me some old books and scrolls. Browsing through them, they appear to be written in a variation of the ancient Indian script. It could be of use, as the scholar says these hold many great wisdoms…;Un vieil érudit est ici à la foire de [VIET_sogdian_fair_location.GetName]. Il me propose de me vendre des vieux livres et des parchemins. En les parcourant, ils semblent être écrits dans une variante de l'ancienne écriture indienne. Il pourrait être utile, comme le dit l'érudit, car ceux-ci détiennent beaucoup de grandes sagesses...;;;;;;;;;;x
silkroad.444.a;I’m sure some of my scholars will be able to decipher its contents.;Je suis sûr que certains de mes érudits pourront en déchiffrer le contenu.;;;;;;;;;;;;x
silkroad.444.b;Oh wait, I recognize the language. I think I want to study these, yes...;Oh attendez, je reconnais la langue. Je pense que je veux les étudier, oui...;;;;;;;;;;;;x
silkroad.444.c;Why would I want these useless pieces of paper?;Pourquoi voudrais-je ces morceaux de papier inutiles ?;;;;;;;;;;;;x
silkroad.445.desc;“Ostrich eggs! Ostrich eggs! Ostrich eggs from ostriches in Arabia! Best Ostrich eggs at the [VIET_sogdian_fair_location.GetName] fair! Get your Ostrich eggs here! Ostrich eggs!”;"Oeufs d'autruche ! Des œufs d'autruche ! Oeufs d'autruches d'autruches d'Arabie ! Meilleurs œufs d'autruche à la foire de [VIET_sogdian_fair_location.GetName] ! Achetez vos œufs d'autruche ici ! Oeufs d'autruche !";;;;;;;;;;x
silkroad.445.a;Oooh! Ostrich eggs! I want to try some!;Oooh ! Des œufs d'autruche ! Je veux essayer !;;;;;;;;;;;;x
silkroad.445.b;I didn’t come to the fair for some stupid fad of a food.;Je ne suis pas venu à la foire pour un stupide engouement pour la nourriture.;;;;;;;;;;;;x
silkroad.446.desc;A horse merchant is here at the fair, claiming to breed horses in the wild areas of the Fergana valley. He claims, rather boldly, that the horses of Ferghana such as those he sells are always of wonderful quality because these breeds are from the strain of a supernatural stallion, a gift from the heavens.;Un marchand de chevaux est ici à la foire, prétendant élever des chevaux dans les zones sauvages de la vallée de Fergana. Il prétend, assez audacieusement, que les chevaux de Ferghana tels qu'il vend sont toujours d'une qualité merveilleuse parce que ces races sont issues de la souche d'un étalon surnaturel, un cadeau du ciel.;;;;;;;;;;x
silkroad.446.a;I’m interested in that horse over there, yes, that one.;Je suis intéressé par ce cheval là-bas, oui, celui-là.;;;;;;;;;;;;x
silkroad.446.b;A likely tale! Ha! I’ve heard better.;Un conte probable ! Ha ! J'ai entendu mieux que ça.;;;;;;;;;;;;x
silkroad.447.desc;At the fair I’ve met a number of Sogdian merchants. One of them in seems to have made a fortune on the trade routes connecting to the city of Turfan, nicknamed “Chinese Town” by the Sogdians due to its large Chinese presence. He claims the brothels there are some of the best in the world, its beautiful courtesans having pleasured travelers and merchants for centuries!;A la foire, j'ai rencontré un certain nombre de marchands Sogdiens. L'un d'entre eux semble avoir fait fortune sur les routes commerciales reliant la ville de Turfan, surnommée "ville chinoise" par les Sogdiens en raison de sa grande présence chinoise. Il prétend que les bordels sont parmi les meilleurs au monde, ses belles courtisanes ayant fait plaisir aux voyageurs et aux marchands pendant des siècles !;;;;;;;;;;x
silkroad.447.a;I’d like to visit there someday!;J'aimerais y aller un jour !;;;;;;;;;;;;x
silkroad.447.b;Well… that’s interesting…;Eh bien... c'est intéressant...;;;;;;;;;;;;x
silkroad.447.c;Excuse me, would you mind not talking about such lewd things?;Excusez-moi, ça vous dérangerait de ne pas parler de choses aussi obscènes ?;;;;;;;;;;;;x
silkroad.448.desc;Talking with some of the merchants who have traveled from far-away lands to our fair has proven to be quite fascinating. Many of these men have seen so many in these travels, and sometimes I wonder if I’ll ever get to see the massive Buddha statues of Bamiyan, the Cave of a Thousand Buddhas in Mogao, the Great Wall of China, or the highest peaks of the Himalayas.;Parler avec certains des marchands qui ont voyagé des terres lointaines jusqu'à notre foire s'est avéré être tout à fait fascinant. Beaucoup de ces hommes en ont vu tant dans ces voyages, et parfois je me demande si je verrai un jour les statues massives de Bouddha de Bamiyan, la Grotte des Mille Bouddhas à Mogao, la Grande Muraille de Chine ou les plus hauts sommets de l'Himalaya.;;;;;;;;;;x
silkroad.448.a;Maybe someday?;Peut-être un jour ?;;;;;;;;;;;;x
silkroad.449.desc;One merchant here at the fair is selling a wide variety of precious items from China, particularly jade.;Un des marchands présents à la foire vend une grande variété d'objets précieux de Chine, en particulier du jade.;;;;;;;;;;x
silkroad.449.a;I want this jade amulet here…;Je veux cette amulette en jade ici...;;;;;;;;;;;;x
silkroad.449.b;Jade is overrated.;Le jade est surfait.;;;;;;;;;;;;x
silkroad.450.desc;A merchant has come here all the way from Khotan, bringing with him luxurious jade and silk manufactured in that city - the Khotanese are in fact one of the few peoples outside of China who can make these products on such a large scale. Nevertheless, due to the precious nature of these items, I better hurry before they're sold out at this fair.;Un marchand est venu ici depuis Khotan, apportant avec lui du jade luxueux et de la soie fabriquée dans cette ville - les Khotanese sont en fait l'un des rares peuples en dehors de la Chine à pouvoir fabriquer ces produits à une telle échelle. Néanmoins, en raison de la nature précieuse de ces articles, je ferais mieux de me dépêcher avant qu'ils ne soient vendus à cette foire.;;;;;;;;;;x
silkroad.450.a;Some jade, please!;Un peu de jade, s'il vous plaît !;;;;;;;;;;;;x
silkroad.450.b;I'll take that silk.;Je vais prendre cette soie.;;;;;;;;;;;;x
silkroad.450.c;Why not both, jade and silk?;Pourquoi pas les deux, le jade et la soie ?;;;;;;;;;;;;x
silkroad.450.d;Ha! Second-rate imitations of the real, quality Chinese products!;Ha ! Des imitations de seconde classe des vrais produits chinois de qualité !;;;;;;;;;;;;x
silkroad.451.desc;There is a merchant here at the fair in [VIET_sogdian_fair_location.GetName] who trades in precious jewels and stones. Perhaps I should buy some, and commission a local jeweler to make me something lovely? Currently, the following gems are still on sale: lapis lazuli from Afghanistan, diamonds from the heart of India, turquoise all the way from China, and amber from the cold forests of the north.;Il y a un marchand ici à la foire à [VIET_sogdian_fair_location.GetName] qui fait le commerce de bijoux et de pierres précieuses. Peut-être que je devrais en acheter, et commander un bijoutier local pour me faire quelque chose de joli ? Actuellement, les pierres précieuses suivantes sont toujours en vente : lapis-lazuli d'Afghanistan, diamants du coeur de l'Inde, turquoise de Chine et ambre des forêts froides du nord.;;;;;;;;;;x
silkroad.451.a;Lapis Lazuli;Lapis Lazuli;;;;;;;;;;;;x
silkroad.451.b;Diamonds;Diamants;;;;;;;;;;;;x
silkroad.451.c;Turquoise;Turquoise;;;;;;;;;;;;x
silkroad.451.d;Amber;Ambre;;;;;;;;;;;;x
silkroad.452.desc;At the fair, a merchant is offering to sell me some beautifully carved ivory, made from the tusks of Indian elephants, for a rather low price.;A la foire, un marchand m'offre de me vendre de l'ivoire magnifiquement sculpté, fait à partir de défenses d'éléphants indiens, pour un prix plutôt bas.;;;;;;;;;;x
silkroad.452.a;Sure! I’ll buy it.;Bien sûr ! Je vais l'acheter.;;;;;;;;;;;;x
silkroad.452.b;No, not interested.;Non, pas intéressé.;;;;;;;;;;;;x
silkroad.452.c;How cruel it is to extract this mercilessly from the elephants!;Comme il est cruel d'extraire cet impitoyable des éléphants !;;;;;;;;;;;;x
silkroad.453.desc;There are some Persian rugs on sale at this fair. I’m considering buying some to decorate my palace.;Il y a des tapis persans en vente à cette foire. J'envisage d'en acheter pour décorer mon palais.;;;;;;;;;;x
silkroad.453.a;Should be worth it, yes.;Ça devrait valoir le coup, oui.;;;;;;;;;;;;x
silkroad.453.b;Hmm… on second thought, I don’t need it.;Hmm.... en y repensant, je n'en ai pas besoin.;;;;;;;;;;;;x
silkroad.454.desc;“MANGOES ALL THE WAY FROM MULTAN! GET YOUR MANGOES HERE! FRESH, JUICY MANGOES!”;"MANGUE DEPUIS MULTAN ! VOS MANGUES ICI ! DES MANGUES FRAÎCHES ET JUTEUSES !";;;;;;;;;;x
silkroad.454.a;Mmm! Sounds good.;Mmm ! Ça a l'air bien.;;;;;;;;;;;;x
silkroad.454.b;No thanks.;Non merci.;;;;;;;;;;;;x
silkroad.455.desc;One merchant at this fair has a fine selection of spices from all across the world - India, China, Africa, Persia, and elsewhere. I see pepper, saffron, cumin, turmeric, cloves, and more. I must buy some of these, so my cook can use them!;Un des marchands présents à cette foire a une belle sélection d'épices du monde entier - Inde, Chine, Afrique, Perse et ailleurs. Je vois du poivre, du safran, du cumin, du curcuma, des clous de girofle et plus encore. Je dois en acheter pour que mon cuisinier puisse s'en servir !;;;;;;;;;;x
silkroad.455.a;Let’s see… which ones would I like…;Voyons voir... lesquels j'aimerais...;;;;;;;;;;;;x
silkroad.455.b;But, then again, I don’t need a lot of this.;Mais, encore une fois, je n'ai pas besoin de beaucoup de ça.;;;;;;;;;;;;x
silkroad.456.desc;At the fair in [VIET_sogdian_fair_location.GetName], you come across a few Zoroastrians preparing a large statue to be used in one of the upcoming events.;A la foire de [VIET_sogdian_fair_location.GetName], vous rencontrez quelques Zoroastriens qui préparent une grande statue qui sera utilisée lors de l'un des événements à venir.;;;;;;;;;;x
silkroad.456.a;Admire their work;Admirer leur travail;;;;;;;;;;;;x
silkroad.456.b;Idol! False idols!;Idole ! Faux idoles !;;;;;;;;;;;;x
silkroad.456.c;It doesn’t look that interesting;Ça n'a pas l'air si intéressant que ça.;;;;;;;;;;;;x
silkroad.457.desc;Oh, what a poor fool [From.GetFirstName] was! [From.GetSheHe] bought a defective product at the Tirmah Fair without realizing at first, and how [From.GetSheHe] regrets it.;Oh, [From.GetFirstName] était un pauvre imbécile ! Il a acheté un produit défectueux à la foire de Tirmah sans s'en rendre compte au début, et il le regrette maintenant.;;;;;;;;;;x
silkroad.457.a;What a pity.;C'est bien dommage.;;;;;;;;;;;;x
silkroad.458.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.458.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.459.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.459.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.460.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.460.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.461.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.461.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.462.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.462.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.463.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.463.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.464.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.464.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.465.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.465.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.466.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.466.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.467.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.467.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.468.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.468.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.469.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.469.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.470.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.470.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.471.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.471.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.472.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.472.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.473.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.473.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.474.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.474.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.475.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.475.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.476.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.476.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.477.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.477.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.478.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.478.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.479.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.479.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.480.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.480.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.481.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.481.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.482.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.482.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.483.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.483.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.484.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.484.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.485.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.485.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.486.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.486.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.487.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.487.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.488.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.488.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.489.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.489.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.490.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.490.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.491.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.491.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.492.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.492.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.493.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.493.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.494.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.494.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.495.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.495.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.496.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.496.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.497.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.497.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.498.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.498.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.499.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.499.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.500.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.500.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.501.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.501.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.502.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.502.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.503.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.503.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.504.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.504.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.505.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.505.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.506.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.506.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.507.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.507.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.508.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.508.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.509.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.509.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.510.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.510.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.511.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.511.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.512.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.512.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.513.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.513.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.514.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.514.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.515.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.515.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.516.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.516.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.517.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.517.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.518.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.518.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.519.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.519.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.520.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.520.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.521.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.521.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.522.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.522.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.523.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.523.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.524.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.524.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.525.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.525.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.526.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.526.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.527.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.527.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.528.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.528.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.529.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.529.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.530.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.530.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.531.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.531.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.532.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.532.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.533.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.533.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.534.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.534.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.535.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.535.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.536.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.536.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.537.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.537.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.538.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.538.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.539.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.539.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.540.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.540.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.541.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.541.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.542.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.542.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.543.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.543.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.544.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.544.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.545.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.545.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.546.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.546.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.547.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.547.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.548.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.548.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.549.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.549.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.550.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.550.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.551.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.551.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
silkroad.552.desc;xxxxx;xxxxx;;;;;;;;;;x
silkroad.552.a;Xxxxxxffff;Xxxxxxffff;;;;;;;;;;;;x
