#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Misc events, decisions, modifiers;;;;;;;;;;;;x
###### Georgian Schism;;;;;;;;;;;;x
GEORGIAN.1.title;The Georgian Church;L'Église géorgienne;;;La iglesia Georgiana;;;;;;;x
imperial_legacy.12.a.tooltip;You will recognise the new empire, but by doing it you might also lose any previous claims you had upon its territory;Vous reconnaîtrez le nouvel empire, mais en le faisant vous pourriez aussi perdre les revendications précédentes que vous aviez sur son territoire;;;;;;;;;;x
imperial_legacy.12.b;These lowly peasants are not legitimate successors to the Western Roman Empire;Ces humbles paysans ne sont pas des légitimes successeurs de l'Empire romain d'Occident;;;;;;;;;;x
imperial_legacy.12.b.tooltip;You will not recognise the new empire, which will greatly upset your relations, and may cause religious friction;Vous ne reconnaîtrez pas le nouvel empire, ce qui va bouleverser considérablement vos relations, et peut causer des frictions religieuses;;;;;;;;;;x
imperial_legacy.13.name;The Second Rome;La seconde Rome;;;;;;;;;;x
imperial_legacy.13.desc;With the revival of a Western Roman Empire based in Rome, the Eastern Roman Empire in Constantinople has been in upheaval. By gaining the approval of the sitting Roman Emperor, Emperor [From.GetTitledFirstName], this 'second Rome' has been acknowledged and praised as a worthy sucessor to the past Western half of the empire. This restored Rome will now be able to strengthen its relations with the other half of the once great empire, and will be able to flourish with the support of the Emperor-in-the-East.;Avec la renaissance d'un Empire romain d'Occident basé à Rome, l'Empire romain d'Orient à Constantinople a été en plein bouleversement. En obtenant l'approbation de la séance de l'empereur romain, l'empereur [From.GetTitledFirstName], cette «seconde Rome» a été reconnu et salué comme un successeur digne du passé de la moitié occidentale de l'empire. Cette Rome restaurée va maintenant être en mesure de renforcer ses relations avec l'autre moitié du grand empire, et sera en mesure de se développer avec le soutien de l'empereur d'Orient.;;;;;;;;;;x
imperial_legacy.13.a;Unity makes strength;L'union fait la force;;;;;;;;;;x
imperial_legacy.14.name;The Second Rome;La seconde Rome;;;;;;;;;;x
imperial_legacy.14.desc;With the revival of a Western Roman Empire based in Rome, the Eastern Roman Empire in Constantinople has been in upheaval. Without the approval of the sitting Roman Emperor, Emperor [From.GetTitledFirstName], this 'second Rome' has been denounced and judged a blasphemous imitation. This 'second Rome' will not be tied to any relations to the once great empire, and will instead be forced to tread its own path without the support or acknowledgement of the Emperor-in-the-East.;Avec la renaissance d'un Empire romain d'Occident basé à Rome, l'Empire romain d'Orient à Constantinople a été en plein bouleversement. Sans l'approbation de la séance de l'empereur romain, l'empereur [From.GetTitledFirstName], cette «seconde Rome» a été dénoncée et jugée comme une imitation blasphématoire. Cette «seconde Rome» ne sera pas liée par des relations au grand empire, et sera plutôt contrainte de chercher son propre chemin sans le soutien ou la reconnaissance de l'empereur d'Orient.;;;;;;;;;;x
imperial_legacy.14.a;The opinion of these scoundrels is a mere detail;L'avis de ces scélérats est un simple détail;;;;;;;;;;x
imperial_legacy.15.name;The Roman Question;La question romaine;;;;;;;;;;x
imperial_legacy.15.desc;AI;IA;;;;;;;;;;x #AI
imperial_legacy.16.name;The Homeland of Christians;La patrie des chrétiens;;;;;;;;;;x
imperial_legacy.16.desc;The Pope of Rome stood tall this day, seeing the rightful sons return to the Italian Peninsula, marching in stride to reclaim the land that was lost to the barbarian tribes. Realising that the new empire is a worthy sucessor to Rome, the Nicene Pope offered the full support of his faith to the new Western Roman Empire.;Le pape de Rome était grand ce jour, en voyant les fils légitimes retournant dans la péninsule italienne, marchant dans la foulée pour récupérer la terre qui a été cédée aux tribus barbares. Réalisant que le nouvel empire est un successeur digne de Rome, le pape nicéen a offert le plein soutien de sa foi au nouvel Empire romain d'Occident.;;;;;;;;;;x
imperial_legacy.16.a;Hail the Patriarch of Rome!;Acclamons le patriarche de Rome!;;;;;;;;;;x
imperial_legacy.17.name;Rome Stands Apart;Rome se distingue;;;;;;;;;;x
imperial_legacy.17.desc;Today, the City of Rome shut its gates to its 'liberators.' This was a message intended for the new owners of Italy, the Nicene Pope and his faithful shall accept no role in this illegitimate Roman Empire. He has rebuked the validity of the title, and has labelled these upstarts as nothing more than the opportunistic conquerors of Italy.;Aujourd'hui, la ville de Rome a fermé ses portes à ses «libérateurs». Ce fut un message destiné aux nouveaux propriétaires de l'Italie, le Pape nicéen et ses fidèles n'acceptent aucun rôle dans cet Empire romain illégitime. Il a réprimandé la validité du titre, et a qualifié ces parvenus comme rien de plus que les conquérants opportunistes de l'Italie.;;;;;;;;;;x
imperial_legacy.17.a;A sad day, indeed.;Un triste jour, en fait;;;;;;;;;;x
imperial_legacy.17.b;So... there shall be blood.;Alors... il y aura du sang.;;;;;;;;;;x
imperial_legacy.18.name;The Holy See of Rome;Le Saint-Siège de Rome;;;;;;;;;;x 
imperial_legacy.18.desc;Ever since the fall of the Western Roman Empire, invaders have routinely rampaged throughout the Italian Peninsula. The Catholic Pope in Rome has been one of the few uniting factors available to the Italian peoples under barbarian rule, and the effect this has had on the denizens of your empire cannot be understated. If you were to return the City of Rome to its proper owner, it's clear that you would have religion on your side for the foreseeable future. However, Rome has been the seat of power for many great emperors, and could easily see a return to the greatest city in the known world. Maintaining Rome under your own authority would have an equally large impact, were your ambitions more grand than a unified realm under Christendom. The decision was stifling...;Depuis la chute de l'Empire romain d'Occident, les envahisseurs ont systématiquement saccagé dans toute la péninsule italienne. Le pape catholique de Rome a été l'un des rares facteurs d'union à la disposition des peuples italiens sous domination barbare, et l'effet que cela a eu sur les habitants de votre empire ne peut pas être sous-estimé. Si vous deviez remettre la ville de Rome à son propriétaire approprié, il est clair que vous auriez la religion de votre côté pour l'avenir prévisible. Cependant, Rome a été le siège du pouvoir pour de nombreux grands empereurs, et pourrait facilement voir un retour à la plus grande ville du monde connu. Le maintien de Rome sous votre propre autorité aurait un impact tout aussi grand, étant donné que vos ambitions sont plus grandes qu'un royaume unifié sous la chrétienté. La décision était étouffante...;;;;;;;;;;x 
imperial_legacy.18.a;Allow the Pope to govern his rightful land!;Permettre au pape de gouverner sa terre légitime!;;;;;;;;;;x 
imperial_legacy.18.b;A true capital city, for a true emperor!;Une véritable capitale, pour un véritable empereur!;;;;;;;;;;x 
imperial_legacy.19.name;AI;IA;;;;;;;;;;x #AI only
imperial_legacy.19.desc;AI;IA;;;;;;;;;;x #AI only
imperial_legacy.20.name;AI;IA;;;;;;;;;;x #AI only
imperial_legacy.20.desc;AI;IA;;;;;;;;;;x #AI only
imperial_legacy.21.name;A Roman Peal;Un carillon romain;;;;;;;;;;x 
imperial_legacy.21.desc;In return for the ancestral lands of Rome, given to him by the revived Western Roman Empire, the Pope has pledged his support to their cause. This pledge is no understatement, as this ties the head of Catholicism to an entire empire, endowing with them the much-needed legitimacy to press claim to the vast lands once held by their namesake.;En contrepartie des terres ancestrales de Rome, qui lui sont données par l'Empire romain d'Occident ressuscité, le Pape a promis son soutien à leur cause. Cet engagement n'est pas exagéré, car cela lie la tête du catholicisme à tout un empire, conférant avec eux la légitimité bien nécessaire pour appuyer la revendication de vastes terres autrefois détenues par leur homonyme.;;;;;;;;;;x 
imperial_legacy.21.a;Long live the Pope of Rome!;Longue vie au Pape de Rome!;;;;;;;;;;x 
imperial_legacy.22.name;A Catholic Peal;Un carillon catholique;;;;;;;;;;x 
imperial_legacy.22.desc;After the ancestral lands of Rome have been withheld by the Western Roman Empire, it has been decided that the Catholic Pope shall not stand beside this blasphemous, upstart empire. This has wounded their aspirations for an Italy unified under Christendom, and further hindered their claims to the past lands of the Roman Empire.;Après que les terres ancestrales de Rome ont été refusées à l'Empire romain d'Occident, il a été décidé que le pape catholique ne doit pas se tenir à côté de ce blasphème, cet empire parvenu. Cela a blessé leurs aspirations pour une Italie unifiée sous la chrétienté, et a en outre entravé leurs revendications sur les terres précédemment détenues par l'Empire romain.;;;;;;;;;;x 
imperial_legacy.22.a;There shall be no Pope in Rome...;Il n'y aura pas de Pape à Rome...;;;;;;;;;;x 
imperial_legacy.23.name;The Catholic State;L'état catholique;;;;;;;;;;x 
imperial_legacy.23.desc;As a gift from the reforged Western Roman Empire, the Catholic Pope has been granted the City of Rome and its immediate vicinities as territory under its holy demesne.;En tant que don de l'Empire romain occidental reforgé, le pape catholique a reçu la ville de Rome et ses environs immédiats comme territoire sous son saint domaine.;;;;;;;;;;x 
imperial_legacy.23.a;How generous.;Quelle générosité.;;;;;;;;;;x 
imperial_legacy.24.name;Caesar Over Pope;Un César plus qu'un Pape;;;;;;;;;;x 
imperial_legacy.24.desc;After reforging the Western Roman Empire, the new Emperor has declined the option to turn over the ancient, ancestral city of Rome to the Catholic Pope. This dire act, while political in nature, severely adjusts the religious landscape of Italy, and can be likened to stripping Christendom from the Italian Peninsula itself.;Après la refondation de l'Empire romain d'Occident, le nouvel empereur a refusé la possibilité de remettre la ville antique, ancestrale de Rome au pape catholique. Cet acte terrible, bien que de nature politique, adapte sévèrement le paysage religieux de l'Italie, et peut être assimilé à l'extraction de la chrétienté de la péninsule italienne elle-même.;;;;;;;;;;x 
imperial_legacy.24.a;A heretical decision;Une décision hérétique;;;;;;;;;;x 
imperial_legacy.25.name;Eastern Roman Empire;Empire romain d'Orient;;;;;;;;;;x
imperial_legacy.25.desc;As a powerful ruler of a Roman successor state, you've managed to reclaim the lost provinces in Greece and Anatolia as well as given back some glory to the city of Constantinople. You are now seen as the true successor of the Eastern Roman Emperors. Maybe there is still hope one day to reconquer and reunite the former Roman Empire!;En tant que puissant souverain d'un Etat successeur romain, vous avez réussi à récupérer les provinces perdues en Grèce et en Anatolie, ainsi que redonné une certaine gloire à la ville de Constantinople. Vous êtes maintenant vu comme le véritable successeur des empereurs romains d'Orient. Peut-être qu'on peut encore espérer un jour reconquérir et réunir l'ancien Empire romain!;;;;;;;;;;x
imperial_legacy.25.a;Long live Rome!;Vive Rome !;;;;;;;;;;x
imperial_legacy.25.a.tooltip;You may now use the Imperial Reconquest CB on the Eastern part of the Empire in 395;Vous pouvez désormais utiliser le CB de Reconquête Impériale sur l'intégralité du territoire que l'empire Romain contrôlait en 395;;;;;;;;;;x
imperial_legacy.26.name;Recognising of the 'ERE'?;Reconnaissance du «ERE»?;;;;;;;;;;x
imperial_legacy.26.desc;To the East, a mighty Roman state has emerged, taking the former Roman provinces of the Eastern Roman Empire, spanning from Epirus in the west, to Cappadocia in the east. With these lands in their power, they claim to be the rightful successor to the Eastern Roman Emperors. Being the ruler of the Western portion of the Roman Empire, it is Your Grace's ultimate choice to recognise this new realm, or to deny its legitimacy. This action will determine the relations between our domains for years to come. While this new claimant may become a useful and powerful ally, granting its legitimacy might also threaten our borders, should he become ambitious.;En Orient un état romain puissant a émergé, en prenant les anciennes provinces romaines de l'Empire romain d'Orient, allant de Épire à l'ouest, à Cappadoce dans l'est. Avec ces terres en leur pouvoir, ils prétendent être le successeur légitime des empereurs romains d'Orient. Etant le chef de la partie occidentale de l'Empire romain, c'est le choix ultime de Votre Grâce de reconnaître ce nouveau royaume, ou de nier sa légitimité. Cette action permettra de déterminer les relations entre nos domaines pour les années à venir. Bien que ce nouveau prétendant puisse devenir un allié utile et puissant, accorder sa légitimité pourrait aussi menacer nos frontières, s'il devenait devenir ambitieux.;;;;;;;;;;x
imperial_legacy.26.a;This realm is the true successor to the Eastern Empire!;Ce royaume est le véritable successeur de l'Empire d'Orient!;;;;;;;;;;x
imperial_legacy.26.a.tooltip;You recognise this empire as the East's rightful successor. However, this also means you lose any claims you had for this territory.;Vous reconnaissez cet empire comme successeur légitime de l'Orient. Cependant, cela signifie également que vous perdez toutes les revendications que vous aviez pour ce territoire.;;;;;;;;;;x
imperial_legacy.26.b;Insolent fool! The East died with its last ruler!;Fou insolent! L'Orient est mort avec son dernier souverain!;;;;;;;;;;x
imperial_legacy.26.b.tooltip;You refuse to recognise this claim as legitimate. This will greatly disturb relations between your realm and his, and conflict may ensue...;Vous refusez de reconnaître cette revendication légitime. Cela va grandement perturber les relations entre votre royaume et le sien, et les conflits peuvent en résulter...;;;;;;;;;;x
imperial_legacy.27.name;The Second Rome;La seconde Rome;;;;;;;;;;x
imperial_legacy.27.desc;Your Grace, we have received extraordinary news. Your Grace's just claim to the Eastern Roman Empire has been recognised by none other than the Western Emperor himself! This will surely bring stability to the realm, and solidify your right to rule.;Votre Grâce, nous avons reçu des nouvelles extraordinaires. La juste réclamation de Votre Grâce pour l'Empire romain d'Orient a été reconnue par nul autre que l'empereur d'Occident lui-même! Cela apportera certainement la stabilité dans le domaine, et solidifiera votre droit de gouverner.;;;;;;;;;;x
imperial_legacy.27.a;Excellent!;Excellent!;;;;;;;;;;x
imperial_legacy.28.name;The Second Rome;La seconde Rome;;;;;;;;;;x
imperial_legacy.28.desc;The blasted Western Roman Emperor has refused to accept Your Grace's rightful claim as Eastern Roman Emperor! This slight to Your Grace's prestige will not do!;L'empereur romain occidental a refusé d'accepter la prétention légitime de Votre Grâce en tant qu'Empereur Romain Oriental ! Cet affront au prestige de Votre Grâce ne fera pas !;;;;;;;;;;x
imperial_legacy.28.a;The vile cur!;Le vil cabot!;;;;;;;;;;x
imperial_legacy.29.name;AI;IA;;;;;;;;;;x #AI only
imperial_legacy.29.desc;AI;IA;;;;;;;;;;x #AI only
imperial_legacy.30.name;The True Christian Empire;Le véritable empire chrétien;;;;;;;;;;x
imperial_legacy.30.desc;While Your Grace has vanquished many foes, and has solidified your rule over the Empire. Your piety and prestige is known in all corners of the Known World. As a result, the Nicene Patriarch has recognised the realm as a worthy Christian successor to the Emperors of old. He preaches for your subject's obedience to your ultimate rule over the realm, and truly insists that it was appointed by God Himself.;Alors que Votre Grâce a vaincu de nombreux ennemis, et a solidifié votre domination sur l'Empire. Votre piété et votre prestige sont reconnus dans tous les coins du monde connu. En conséquence, le Patriarche nicéen a reconnu le royaume comme un digne successeur chrétien des empereurs d'autrefois. Il prêche pour l'obéissance de vos sujets à votre souveraineté ultime sur le royaume, et insiste vraiment qu'il a été nommé par Dieu lui-même.;;;;;;;;;;x
imperial_legacy.30.a;What splendid news!;Quelle splendide nouvelle!;;;;;;;;;;x
imperial_legacy.31.name;Unworthy Heirs to Christian Rome;Héritiers indigne de la Rome chrétienne;;;;;;;;;;x
imperial_legacy.31.desc;Dark tidings come from the great city of Constantinople, seat of the influential Nicene Patriarch. The Patriarch does not recognise Your Grace's lawful claim of 'Eastern Roman Emperor'! He berates your lack of piety and your so called 'mishandling' of the realm. This will surely not please the populace, nor the Clergymen of the Empire.;Des nouvelles sombres viennent de la grande ville de Constantinople, siège de l'influent patriarche nicéen. Le patriarche ne reconnaît pas la revendication légitime de Votre Grâce comme 'empereur romain d'Orient'! Il réprimande votre manque de piété et votre soi-disant «mauvaise gestion» du royaume. Cela ne plaira sûrement pas à la population, ni aux ecclésiastiques de l'Empire.;;;;;;;;;;x
imperial_legacy.31.a;Curse the Patriarch and his petty ramblings!;Maudire le patriarche et ses petites divagations!;;;;;;;;;;x
imperial_legacy.31.b;Let's see how nice that fat neck of his will look like when it's hugging a noose!;Voyons comment à quoi ressemblera la graisse de son cou quand il sera étreint avec un noeud coulant!;;;;;;;;;;x
imperial_legacy.32.name;The Patriarch Question;La question du Patriarche;;;;;;;;;;x
imperial_legacy.32.desc;While Your Highness may have vanquished many a foe, and has inherited the vast riches of the Eastern Roman Empire, a large problem still persists. The Patriarch in Constantinople lies idly, not supporting, nor denying your legal claim to the East. However, a hidden enemy or jealous vassal may try to sway him to strike down your cause. Evidently, this is a cause of concern as it may disturb the precious peace of the realm.;Alors que Votre Altesse peut avoir vaincu beaucoup d'ennemis, et a hérité des vastes richesses de l'Empire romain d'Orient, un grand problème persiste. Le patriarche de Constantinople se trouve les bras croisés, ne soutenant pas, ni ne niant pas votre réclamation juridique de l'Orient. Cependant, un ennemi caché ou un vassal jaloux peuvent essayer de l'influencer pour s'opposer à votre cause. Evidemment, cela est une cause de préoccupation, car cela pourrait troubler la paix précieuse du royaume.;;;;;;;;;;x
imperial_legacy.32.a;Perhaps a gift worthy of only God's greatest servant may convince him...;Peut-être qu'un cadeau digne de l'unique plus grand serviteur de Dieu pourrait le convaincre...;;;;;;;;;;x
imperial_legacy.32.a.tooltip;The Hagia Sophia is given to the Patriarch, boosting his opinion towards you, as well as persuading him to endorse your right to rule. However, he may not be satisfied with just one Cathedral to his name...;La basilique Sainte-Sophie est donnée au patriarche, stimulant son opinion envers vous, ainsi que le persuadant de soutenir votre droit de gouverner. Cependant, il ne peut pas se contenter d'une cathédrale à son nom...;;;;;;;;;;x
imperial_legacy.32.b;Heavens no. I could not care in the slightest as to who supports me or not.;Dieu du ciel, non ! Je ne me soucie pas du tout de savoir qui me soutient ou non.;;;;;;;;;;x
imperial_legacy.32.b.tooltip;This is severely anger the Patriarch, causing him to not recognise your rule of the Eastern Roman Empire, as well as excommunicating you from the Church.;Ceci est la sévère colère du patriarche, l'amenant à ne pas reconnaître votre souveraineté sur l'Empire romain d'Orient, aussi bien qu'à vous excommunier de l'Église.;;;;;;;;;;x
imperial_legacy.33.name;The Orthodox Question-Accepted;Acceptation de la question orthodoxe;;;;;;;;;;x #AI only
imperial_legacy.33.desc;AI;IA;;;;;;;;;;x #AI only
imperial_legacy.34.name;The Orthodox Question-Rejected;Rejet de la question orthodoxe;;;;;;;;;;x #AI only
imperial_legacy.34.desc;AI;IA;;;;;;;;;;x #AI only
imperial_legacy.35.name;We are supported by the Patriarchy!;Nous sommes soutenus par le patriarcat!;;;;;;;;;;x
imperial_legacy.35.desc;Your Grace, this is a glorious day! The Orthodox Patriarch has recognised the realm as the ultimate successor to the Eastern Roman Empire! This will aid your cause even further, as the Clergy and people now see you as their rightful lord.;Votre Grâce, ceci est un jour glorieux! Le patriarche orthodoxe a reconnu le royaume comme le successeur ultime de l'Empire romain d'Orient! Cela aidera davantage votre cause, puisque le clergé et les gens vous voient maintenant comme leur seigneur légitime.;;;;;;;;;;x
imperial_legacy.35.a;Perfect!;Parfait!;;;;;;;;;;x
imperial_legacy.36.name;Patriarch refuses to recognise you!;Le patriarcat refuse de vous reconnaître!;;;;;;;;;;x
imperial_legacy.36.desc;A very dark day, Your Grace, the cursed Orthodox Patriarch is in denial. He utterly refuses to support the fact that you are the true ruler of the Eastern Roman Empire! Despite all the work you have done to save Europe from the godless, barbarian scum, he still has the audacity to challenge your claim!;Une journée très sombre, Votre Grâce, le maudit patriarche orthodoxe est dans le déni. Il refuse absolument de soutenir le fait que vous êtes le vrai maître de l'Empire romain d'Orient! En dépit de tout le travail que vous avez fait pour sauver l'Europe de l'impie, l'écume barbare, il a encore l'audace de contester votre demande!;;;;;;;;;;x
imperial_legacy.36.a;A very dark day, indeed.;Une journée très sombre en effet.;;;;;;;;;;x
imperial_legacy.37.name;Interesting developments from the Patriarch...;Des développements intéressants venant du Patriarche...;;;;;;;;;;x
imperial_legacy.37.desc;Christians near and far! The Orthodox Patriarch has officially endorsed the legitimacy of the Eastern Roman Emperor, thus cementing his claim to power and the prestige associated with such a title.;Chrétiens proches et lointains! Le patriarche orthodoxe a officiellement approuvé la légitimité de l'empereur romain d'Orient, cimentant ainsi sa prétention au pouvoir et le prestige associé à un tel titre.;;;;;;;;;;x
imperial_legacy.37.a;Ok;D'accord;;;;;;;;;;x
imperial_legacy.38.name;Interesting developments from the Patriarch...;Des développements intéressants venant du Patriarche...;;;;;;;;;;x
imperial_legacy.38.desc;Your Grace, we have some interesting news coming out of Constantinople. The Orthodox Patriarch has decided to not recognise the rule of [From.GetTitledFirstName] as the legitimate successor to the Eastern Roman Empire! Hostilities will surely follow...;Votre Grâce, nous avons quelques nouvelles intéressantes qui sortent de Constantinople. Le patriarche orthodoxe a décidé de ne pas reconnaître la primauté du [From.GetTitledFirstName] comme le successeur légitime de l'Empire romain d'Orient! Des hostilités vont sûrement suivre...;;;;;;;;;;x
imperial_legacy.38.a;I shall look into this issue with interest...;Je vais examiner cette question avec intérêt...;;;;;;;;;;x
imperial_legacy.39.name;Adoption of a Bureaucratic government;Adoption d'un gouvernement bureaucratique;;;;;;;;;;x
imperial_legacy.39.desc;The processus of adopting a bureaucratic government for the realm has now begun. While you are now officially bureaucratic, the processus of establishing the necessary bureaucracy will take a while. In the meantime, the imperial administration will be less efficient. Your vassals are not pleased with this transition, as they are afraid that this new bureaucracy will make them loose some of the privelieges and rights they have managed to acquire throughout the years.;Le Processus d'adoption d'un gouvernement bureaucratique pour le royaume a maintenant commencé. Alors que vous êtes maintenant officiellement bureaucratique, le processus d'établissement de la bureaucratie nécessaire prendra un certain temps. En attendant, l'administration impériale sera moins efficace. Vos vassaux ne sont pas satisfaits de cette transition, car ils ont peur que cette nouvelle bureaucratie leur fera perdre certains des privilèges et des droits qu'ils ont réussi à acquérir au fil des années.;;;;;;;;;;x
imperial_legacy.39.a;Let us embrace this new form of government!;Adoptons cette nouvelle forme de gouvernement!;;;;;;;;;;x
imperial_legacy.40.name;Hagia Sophia;Sainte-Sophie;;;;;;;;;;x
imperial_legacy.40.desc;[From.GetTitledName], ruler of Constantinople, has recently started building Hagia Sophia, a magnificient new cathedral for the City of Man's Desire.;[From.GetTitledName], dirigeant de Constantinople, a récemment commencé la construction Sainte-Sophie, une magnifique basilique pour la Reine des Villes. Elle servira en tant que cathédrale chrétienne et sera le siège du patriarchat de Constantinople.;;;;;;;;;;x
imperial_legacy.40.a;Fantastic!;Fantastique!;;;;;;;;;;x
imperial_legacy.41.name;Hagia Sophia;Sainte-Sophie;;;;;;;;;;x
imperial_legacy.41.desc;The ruler of Constantinople has recently built Hagia Sophia, a magnificient new cathedral for the City of Man's Desire. It will serve as a christian cathedral and seat of the Patriarchate of Constantinople.;Le dirigeant de Constantinople a récemment construit Hagia Sophia.;;;;;;;;;;x
imperial_legacy.41.a;Mighty church for a mighty City!;Une église puissante pour une ville puissante!;;;;;;;;;;x
imperial_legacy.42.desc;With the conquest of Rome and Ravenna, what previously was the regalia of the Western Roman Empire is now in your hands. The question is now what you should do with these valuable artifacts. Keeping them would be a first sign of continuity, while sending them to the Eastern Empire could help you on the way of being granted official recognition.;Avec la conquête de Rome et de Ravenne, ce qui était auparavant les insignes de l'Empire romain d'Occident est maintenant entre vos mains. La question est maintenant ce que vous devriez faire avec ces artefacts précieux. Les garder serait un premier signe de continuité, tandis que leur envoi à l'Empire d'Orient pourrait vous aider à obtenir une reconnaissance officielle.;;;;;;;;;;x 
imperial_legacy.42.a;They look nice, I think I will keep them;Ils ont l'air ravissants, je pense que je les garderai;;;;;;;;;;x 
imperial_legacy.42.b;Send them to the Eastern Emperor, maybe he will recognise our rule;Envoyez-les à l'Empereur d'Orient, peut-être qu'il reconnaîtra notre règne;;;;;;;;;;x 
imperial_legacy.42.c;Send them to what is left of the Western Roman Empire;Envoyez-les à ce qui reste de l'Empire romain d'Occident;;;;;;;;;;x 
imperial_legacy.42.d;Send them to Soissons;Envoyez-les à Soissons;;;;;;;;;;x
imperial_legacy.43.name;Western Roman Regalia;Insignes de l'empire romaine d'Occident;;;;;;;;;;x 
imperial_legacy.43.desc;[From.GetTitledName] has decided to send you the regalia of the Western Roman Empire which had ended up in [From.GetHerHis] possession after the conquest of Italy. The embassy which carries the regalia does with this move wish to recognise you as the sole surviving legitimate Roman emperor. While you could seize this occasion as an opportunity to cement your role and recognise [From.GetTitledFirstName] as legitimate, others may frown upon you accepting a such gift.;[From.GetTitledName] a décidé de vous envoyer les insignes de l'Empire romain d'Occident qui avaient fini dans la possession de [From.GetHerHis] après la conquête de l'Italie. L'ambassade qui porte les insignes souhaite avec ce cadeau vous reconnaître comme l'unique empereur romain légitime survivant. Alors que vous pourriez saisir cette occasion comme une opportunité pour cimenter votre rôle et reconnaître [From.GetTitledFirstName] comme légitime, d'autres peuvent désapprouver que vous acceptiez un tel cadeau.;;;;;;;;;;x 
imperial_legacy.43.a;A true friend of Rome!;Un vrai ami de Rome !;;;;;;;;;;x 
imperial_legacy.43.a.tooltip;Recognise [From.GetTitledName] as the legitimate ruler of Italy;Reconnaître [From.GetTitledName] comme le dirigeant légitime de l'Italie;;;;;;;;;;x
imperial_legacy.43.b;A welcome gift;Un cadeau qui est le bienvenu;;;;;;;;;;x
imperial_legacy.43.b.tooltip;Thank the embassy without making any firm commitments;Remerciez l'ambassade sans prendre d'engagements fermes;;;;;;;;;;x
imperial_legacy.43.c;It doesn't change anything. He is just a barbarian usurper;Cela ne change rien. Il est juste un usurpateur barbare;;;;;;;;;; 
imperial_legacy.43.c.tooltip;Refuse to receive the embassy and send back the regalia;Refusez de recevoir l'ambassade et renvoyez les insignes;;;;;;;;;;x
imperial_legacy.44.name;Imperial Recognition;Reconnaissance impériale;;;;;;;;;;x
imperial_legacy.44.desc;In exchange of your embassy sending the Western Imperial Regalia and recognising [From.GetTitledName] as the sole legitimate Roman emperor, the [From.GetFullBaseName] now officially recognises you as the legitimate ruler of Italia.;En échange de votre ambassade envoyant les insignes impériales et reconnaissant [From.GetTitledName] comme le seul empereur romain légitime, le [From.GetFullBaseName] vous reconnaît officiellement comme le dirigeant légitime de l'Italie.;;;;;;;;;;x
imperial_legacy.44.a;We have secured a powerful friend;Nous avons acquis un ami puissant;;;;;;;;;;x 
imperial_legacy.45.name;Imperial Refusal;Refus impérial;;;;;;;;;;x
imperial_legacy.45.desc;[From.GetTitledName] refused to receive your embassy and has sent back the regalia, considering your rule as unlawful and not recognising the authority of your realm. This represents a significant setback and humiliation.;[From.GetTitledName] a refusé de recevoir votre ambassade et a renvoyé les insignes, considérant votre règlement comme illégal et ne reconnaissant pas l'autorité de votre royaume. Cela représente un recul important et une humiliation.;;;;;;;;;;x
imperial_legacy.45.a;Ingrateful bastards!;Les bâtards ingrats !;;;;;;;;;;x
imperial_legacy.46.desc;Its hard to ignore the legacy of the ancient Romans, from how they administered their land with their great code of laws to how they defeated the mighty Carthagians, Greeks, Gauls and Persians with their advanced military strategy. As a [Root.Culture.GetName], many consider your rule to be in continuity to that of the Romans of old. Perhaps we may learn something from their legacy?;Il est difficile d'ignorer l'héritage des anciens Romains, de la façon dont ils ont administré leurs terres avec leur grand code de lois sur la façon dont ils ont vaincu les puissants Carthaginois, les Grecs, les Gaulois et les Perses avec leur stratégie militaire avancée. En tant que dirigeant [Root.Culture.GetName], un grands nombre considère votre règne comme une continuité avec celui des anciens romains. Peut-être pourrions nous apprendre quelque chose de leur héritage?;;;;;;;;;;x
imperial_legacy.46.a;Perhaps I should try to dust off my Latin;Je devrais peut-être essayer d'améliorer mon latin;;;;;;;;;;x
imperial_legacy.46.b;Rome is overrated;Rome est surfaite;;;;;;;;;;x
imperial_legacy.49.name;[From.PrimaryTitle.GetName] disbanding;[From.PrimaryTitle.GetName] se dissout;;;;;;;;;;;;x
imperial_legacy.49.desc;Without the authority of an imperial liege controlling their historical naval port, the [From.PrimaryTitle.GetName] has lost its roots and was forced to disbanded.;Sans l'autorité d'un suzerain impérial contrôlant leur port d'attache historique, la [From.PrimaryTitle.GetName] a perdu ses racines et a été forcée de se dissoudre.;;;;;;;;;;;;x
imperial_legacy.50.name;Dividing the Empire;Diviser l'Empire;;;;;;;;;;x
