#West African Stuff ;;;;;;;;;;;;;;x
EVTNAME1000109211;The Rise of the Songhai Empire;L'essor de l'empire Songhai;;;;;;;;;;;;x
iron_woman_of_society_3_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's dedication to serving their people and bettering their community.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le dévouement du seigneur à servir son peuple et à améliorer sa communauté.;;;;;;;;;;;;x
iron_woman_of_society_4;Iron Woman of Community;Dame de Fer de la Communauté;;;;;;;;;;;;x
iron_woman_of_society_4_desc;This lord possesses a ceremonial staff or spear, an "Iron Woman," representing the lord's dedication to serving their people and bettering their community.;Ce seigneur possède un bâton ou une lance de cérémonie, une "Dame de fer", représentant le dévouement du seigneur à servir son peuple et à améliorer sa communauté.;;;;;;;;;;;;x
#Founding of Kingdoms and Empires ;;;;;;;;;;;;;;x
bilal_descendant;Descended from Bilal;Descendant de Bilal;;;;;;;;;;;;x
bilal_descendant_desc;This character's dynasty was the first to establish a certain major West African state. The dynasty claims descent from Bilal ibn-Rabah, an Ethiopian slave who became one of the Prophet Mohammed's closest companions and was said to have been the first to call Muslims to prayer (the Adhan). Local oral tradition says one of Bilal's sons came to West Africa, where he sired this character's dynasty.;La dynastie de ce personnage a été la première à établir un certain Etat ouest-africain majeur. La dynastie prétend descendre de Bilal ibn-Rabah, un esclave éthiopien qui est devenu l'un des compagnons les plus proches du prophète Mahomet et qui aurait été le premier à appeler les musulmans à la prière (l'Adhan). La tradition orale locale dit que l'un des fils de Bilal est venu en Afrique de l'Ouest, où il a engendré la dynastie de ce personnage.;;;;;;;;;;;;x
noble_stranger_descendant;Descended from a Noble Stranger;Descendant d'un noble étranger;;;;;;;;;;;;x
noble_stranger_descendant_desc;This character's dynasty was the first to establish a certain major West African state. According to local oral tradition, this dynasty is descended from a stranger of royal blood who came to this character's ancestral homeland centuries ago. This stranger was brave and just, and as a result gained a position of power and prestige among the local populace.;La dynastie de ce personnage a été la première à établir un certain Etat ouest-africain majeur. Selon la tradition orale locale, cette dynastie descend d'un étranger de sang royal qui est arrivé dans la patrie ancestrale de ce personnage il y a des siècles. Cet étranger était courageux et juste, ce qui lui a permis d'acquérir une position de pouvoir et de prestige au sein de la population locale.;;;;;;;;;;;;x
wafrica.11.desc;You are now a [Root.GetTitle], a master of men, your Griot tells you. You must be a just ruler, who is harsh with criminals but generous with his common subjects. You must be a brave ruler, who wages war against deluded enemies and evil-minded sorcerers. You must be a wise ruler, who consults the Griots, good sorcerers, and diviners. But you too must know your origins, who your ancestors were. A great [Root.GetTitle] is nothing without a proven line of descent from great heroes.\nYour Griot has done well, however, at determining your ancestry. You and your family are descended from the Ethiopian Bilal, true and steadfast companion of the Prophet Muhammed, the one who called the first call to prayer in the Muslim world. From now on, all across the House of Islam shall speak of your lineage in awe, and you shall be counted among the greatest heroes of the [Root.Culture.GetName] people.;Vous êtes maintenant un [Root.GetTitle], un maître des hommes, vous dit votre Griot. Vous devez être un dirigeant juste, qui est dur avec les criminels mais généreux avec ses sujets communs. Vous devez être un dirigeant courageux, qui fait la guerre contre des ennemis trompés et des sorciers mal intentionnés. Vous devez être un chef sage, qui consulte les Griots, les bons sorciers et les devins. Mais vous aussi, vous devez connaître vos origines, qui étaient vos ancêtres. Un grand [Root.GetTitle] n'est rien sans une lignée prouvée de descendance de grands héros.\nVotre Griot a bien réussi, cependant, à déterminer votre ascendance. Vous et votre famille descendez du Bilal éthiopien, compagnon fidèle et inébranlable du prophète Mahomet, celui qui a fait le premier appel à la prière dans le monde musulman. À partir de maintenant, tous les membres de la Maison de l'Islam parleront de votre lignée avec respect, et vous serez comptés parmi les plus grands héros du peuple [Root.Culture.GetName].;;;;;;;;;;;;x
wafrica.11.name;The Descendant of Bilal;Le Descendant de Bilal;;;;;;;;;;;;x
wafrica.11.a;Masha’Allah! May the land prosper!;Masha'Allah ! Que la terre prospère !;;;;;;;;;;;;x
wafrica.12.desc;My kinsman has found great fame in winning a large realm. Griots around the region are proclaiming our dynasty as descended from the Ethiopian Bilal, true and steadfast companion of the Prophet Muhammed, the one who called the first call to prayer in the Muslim world.;Mon parent a trouvé une grande renommée en gagnant un grand royaume. Les griots de la région proclament notre dynastie comme descendant du Bilal éthiopien, compagnon fidèle et inébranlable du prophète Mahomet, celui qui a lancé le premier appel à la prière dans le monde musulman.;;;;;;;;;;;;x
wafrica.12.a;That is good to hear.;C'est bon à entendre.;;;;;;;;;;;;x
wafrica.12.b;The Muslims sure have interesting ideas...;Les musulmans ont des idées intéressantes...;;;;;;;;;;;;x
wafrica.13.desc;You are now a [Root.GetTitle], a master of men. But there is no rest for the weary, your Griot counsels. Now is the time to establish just rule. Now is the time to show courage. Now is the time to revel in the wisdom of the ancestors. Few men throughout history have commanded such power and authority in the savannas of West Africa. It is important that you clearly establish your lineage in order to assure your position and the position of your family.\nThankfully, your Griot is skilled, and has determined your ancestry. You and your family originate from a mysterious stranger, who was the Prince of a great kingdom far away. This noble man was so great in justness, valor, and goodness that he was elevated to a chief of the [Root.Culture.GetName] people. As such you claim descent from such a great hero, it is likely you and your heirs will continue to emulate such greatness!;Vous êtes maintenant un [Root.GetTitle], un maître des hommes. Mais il n'y a pas de repos pour les lassés, vos conseils Griot. Le moment est venu d'établir un règne juste. Le moment est venu de faire preuve de courage. Le moment est venu de se délecter de la sagesse des ancêtres. Peu d'hommes à travers l'histoire ont commandé un tel pouvoir et une telle autorité dans les savanes de l'Afrique de l'Ouest. Il est important que vous établissiez clairement votre lignée afin d'assurer votre position et la position de votre famille.\nHeureusement, votre Griot est compétent et a déterminé votre ascendance. Vous et votre famille venez d'un mystérieux étranger, qui était le Prince d'un grand royaume lointain. Cet homme noble était si grand en justice, en bravoure et en bonté qu'il a été élevé au rang de chef du peuple [Root.Culture.GetName]. Puisque vous prétendez descendre d'un si grand héros, c'est probable que vous et vos héritiers continuerez à émuler une telle grandeur !;;;;;;;;;;;;x
wafrica.13.name;Descended from Great Men;Descendant de grands hommes;;;;;;;;;;;;x
wafrica.13.a;Very well. I will strive to be a great leader.;Très bien. Je m'efforcerai d'être un grand chef.;;;;;;;;;;;;x
wafrica.14.desc;My kinsman has found great fame in winning a large realm. Griots around the region are proclaiming our dynasty as descended from a mysterious stranger, who was the Prince of a great kingdom far away. He was so great in justness, valor, and goodness that he was elevated to ruler of our people.;Mon parent a trouvé une grande renommée en gagnant un grand royaume. Les griots de la région proclament notre dynastie comme descendant d'un mystérieux étranger, qui était le Prince d'un grand royaume lointain. Il était si grand en justice, en courage et en bonté qu'il a été élevé au rang de chef de notre peuple.;;;;;;;;;;;;x
wafrica.14.a;Very well.;Très bien.;;;;;;;;;;;;x
wafrica.46.desc;News of my great conquests have spread across the savannas. Now, the people of the region have taken to calling me the “Lion King.” It is a good title. Insha’allah, it seems that I am fated to adopt this as my new nickname. It must be my fate decreed by the Greatest, as my Griot would say.;La nouvelle de mes grandes conquêtes s'est répandue dans les savanes. Maintenant, les gens de la région se sont mis à m'appeler le "Roi Lion". C'est un bon titre. Insha'allah, il semble que je suis destiné à l'adopter comme mon nouveau surnom. Ce doit être mon destin décrété par le plus grand, comme dirait mon Griot.;;;;;;;;;;;;x
wafrica.46.a;It certainly represents the power and authority I now wield.;Elle représente certainement le pouvoir et l'autorité que j'exerce aujourd'hui.;;;;;;;;;;;;x
#Salt and Gold Mines ;;;;;;;;;;;;;;x
bambuk_normal_yield;Normal Yield from Mines of Bambuk;Rendement normal des mines de Bambouk;;;;;;;;;;;;x
bambuk_normal_yield_desc;This lord is fortunate to have the gold mines of Bambuk in his or her demesne, and as such reaps a little bit of the profits from it.;Ce seigneur a la chance d'avoir les mines d'or de Bambouk dans son domaine, et en tant que tel en récolte un peu des profits.;;;;;;;;;;;;x
bambuk_high_yield;High Yield from Mines of Bambuk;Rendement élevé des mines de Bambouk;;;;;;;;;;;;x
bambuk_high_yield_desc;This lord is fortunate to have the gold mines of Bambuk in his or her demesne. Due to this lord's excellent administrative abilities, the output of the mines are more than normal.;Ce seigneur a la chance d'avoir les mines d'or de Bambouk dans son domaine. En raison des excellentes capacités administratives de ce seigneur, la production des mines est supérieure à la normale.;;;;;;;;;;;;x
mali_normal_yield;Normal Yield from Mines of Bondou;Rendement normal des mines de Bondou;;;;;;;;;;;;x
mali_normal_yield_desc;This lord is fortunate to have the gold mines of Bondou (in the province of Mali) in his or her demesne, and as such reaps a little bit of the profits from it.;Ce seigneur a la chance d'avoir les mines d'or de Bondou (dans la province du Mali) dans sa domaine, et à ce titre en récolte un peu des profits.;;;;;;;;;;;;x
mali_high_yield;High Yield from Mines of Bondou;Rendement élevé des mines de Bondou;;;;;;;;;;;;x
mali_high_yield_desc;This lord is fortunate to have the gold mines of Bondou (in the province of Mali) in his or her demesne. Due to this lord's excellent administrative abilities, the output of the mines are more than normal.;Ce seigneur a la chance d'avoir les mines d'or de Bondou (dans la province du Mali) dans son domaine. En raison des excellentes capacités administratives de ce seigneur, la production des mines est supérieure à la normale.;;;;;;;;;;;;x
taghaza_normal_yield;Normal Yield from Mines of Taghaza;Rendement normal des mines de Taghaza;;;;;;;;;;;;x
taghaza_normal_yield_desc;This lord is fortunate to have the salt mines of Taghaza in his or her demesne, and as such reaps a little bit of the profits from it.;Ce seigneur a la chance d'avoir les mines de sel de Taghaza dans son domaine, et en tant que tel en récolte un peu des profits.;;;;;;;;;;;;x
taghaza_high_yield;High Yield from Mines of Taghaza;Rendement élevé des mines de Taghaza;;;;;;;;;;;;x
taghaza_high_yield_desc;This lord is fortunate to have the salt mines of Taghaza in his or her demesne. Due to this lord's excellent administrative abilities, the output of the mines are more than normal.;Ce seigneur a la chance d'avoir les mines de sel de Taghaza dans son domaine. En raison des excellentes capacités administratives de ce seigneur, la production des mines est supérieure à la normale.;;;;;;;;;;;;x
idjil_normal_yield;Normal Yield from Mines of Idjil;Rendement normal des mines d'Idjil;;;;;;;;;;;;x
idjil_normal_yield_desc;This lord is fortunate to have the salt mines of Idjil in his or her demesne, and as such reaps a little bit of the profits from it.;Ce seigneur a la chance d'avoir les mines de sel d'Idjil dans son domaine, et en tant que tel en récolte un peu des profits.;;;;;;;;;;;;x
idjil_high_yield;High Yield from Mines of Idjil;Rendement élevé des mines d'Idjil;;;;;;;;;;;;x
idjil_high_yield_desc;This lord is fortunate to have the salt mines of Idjil in his or her demesne. Due to this lord's excellent administrative abilities, the output of the mines are more than normal.;Ce seigneur a la chance d'avoir les mines de sel d'Idjil dans son domaine. En raison des excellentes capacités administratives de ce seigneur, la production des mines est supérieure à la normale.;;;;;;;;;;;;x
taghaza_salt_mines;Salt Mines of Taghaza;Mines de sel de Taghaza;;;;;;;;;;;;x
taghaza_salt_mines_desc;Taghaza is a salt-mining center located in a salt pan in the desert region of northern Mali and an important source of rock salt for West Africa.;Taghaza est un centre d'extraction du sel situé dans une saline dans la région désertique du nord du Mali et une source importante de sel pour l'Afrique de l'Ouest.;;;;;;;;;;;;x
idjil_salt_mines;Salt Mines of Idjil;Mines de sel d'Idjil;;;;;;;;;;;;x
idjil_salt_mines_desc;Idjil is a major salt-mining site in West Africa. Whoever controls the salt mines of Idjil controls the north-south route of the Western Sahara.;Idjil est une importante mine de sel en Afrique de l'Ouest. Celui qui contrôle les mines de sel d'Idjil contrôle la route nord-sud du Sahara occidental.;;;;;;;;;;;;x
mali_gold_mines;Gold Mines of Mali;Mines d'or du Mali;;;;;;;;;;;;x
mali_gold_mines_desc;The province of Mali is a major gold mining center - whoever controls it will reap much profit.;La province du Mali est un centre majeur de l'exploitation de l'or - celui qui le contrôle récoltera beaucoup de profits.;;;;;;;;;;;;x
bambuk_gold_mines;Gold Mines of Bambuk;Mines d'or du Bambouk;;;;;;;;;;;;x
bambuk_gold_mines_desc;Bambuk is renowned as a major centre for gold mining, and probably one of the greatest sources for gold in West Africa. Thus it provides much of the gold exchanged on the Trans-Saharan trade routes.;Bambouk est reconnu comme un centre majeur pour l'extraction de l'or, et probablement l'une des plus grandes sources d'or en Afrique de l'Ouest. Il fournit ainsi une grande partie de l'or échangé sur les routes commerciales transsahariennes.;;;;;;;;;;;;x
taghaza_better_salt_mines;Lucrative Salt Mines of Taghaza;Mines de sel lucratives de Taghaza;;;;;;;;;;;;x
taghaza_better_salt_mines_desc;Taghaza is a salt-mining center located in a salt pan in the desert region of northern Mali and an important source of rock salt for West Africa. Due to the administrative talents of its rulers, the output of the mines here and the profit it brings has increased.;Taghaza est un centre d'extraction du sel situé dans une saline dans la région désertique du nord du Mali et une source importante de sel pour l'Afrique de l'Ouest. En raison des talents administratifs de ses dirigeants, la production des mines ici et le profit qu'elle apporte a augmenté.;;;;;;;;;;;;x
idjil_better_salt_mines;Lucrative Salt Mines of Idjil;Mines de sel lucratives d'Idjil;;;;;;;;;;;;x
idjil_better_salt_mines_desc;Idjil is a major salt-mining site in West Africa. Whoever controls the salt mines of Idjil controls the north-south route of the Western Sahara. Due to the administrative talents of its rulers, the output of the mines here and the profit it brings has increased.;Idjil est une importante mine de sel en Afrique de l'Ouest. Celui qui contrôle les mines de sel d'Idjil contrôle la route nord-sud du Sahara occidental. En raison des talents administratifs de ses dirigeants, la production des mines ici et le profit qu'elle apporte a augmenté.;;;;;;;;;;;;x
mali_better_gold_mines;Lucrative Gold Mines of Bondou;Mines d'or lucratives de Bondou;;;;;;;;;;;;x
mali_better_gold_mines_desc;Bondou in the province of Mali is a major gold mining center - whoever controls it will reap much profit. Due to the administrative talents of its rulers, the output of the mines here and the profit it brings has increased.;Bondou, dans la province du Mali, est un important centre d'exploitation de l'or - celui qui le contrôle récoltera beaucoup de profits. En raison des talents administratifs de ses dirigeants, la production des mines ici et le profit qu'elle apporte a augmenté.;;;;;;;;;;;;x
bambuk_better_gold_mines;Lucrative Gold Mines of Bambuk;Mines d'or lucratives de Bambouk;;;;;;;;;;;;x
bambuk_better_gold_mines_desc;Bambuk is renowned as a major centre for gold mining, and probably one of the greatest sources for gold in West Africa. Thus it provides much of the gold exchanged on the Trans-Saharan trade routes. Due to the administrative talents of its rulers, the output of the mines here and the profit it brings has increased.;Bambuk est reconnu comme un centre majeur pour l'extraction de l'or, et probablement l'une des plus grandes sources d'or en Afrique de l'Ouest. Il fournit ainsi une grande partie de l'or échangé sur les routes commerciales transsahariennes. En raison des talents administratifs de ses dirigeants, la production des mines ici et le profit qu'elle apporte a augmenté.;;;;;;;;;;;;x
wafrica.47.desc;In the province of Bambuk, there are abundant gold deposits. Whoever controls these will reap great profit!;Dans la province de Bambouk, il y a d'abondants gisements d'or. Celui qui les contrôle en tirera un grand profit !;;;;;;;;;;;;x
wafrica.47.a;I see.;Je vois.;;;;;;;;;;;;x
wafrica.48.desc;Thanks to efficient and effective administration, the gold mines at Bambuk have increased their yield and thus have also increased their profitability.;Grâce à une administration efficace et efficiente, les mines d'or de Bambouk ont augmenté leur rendement et donc leur rentabilité.;;;;;;;;;;;;x
wafrica.48.a;Good.;Bien.;;;;;;;;;;;;x
wafrica.49.desc;Unfortunately, the gold mines at Bambuk are no longer as effectively managed, and thus their yield and profitability has decreased.;Malheureusement, les mines d'or de Bambouk ne sont plus gérées aussi efficacement et leur rendement et leur rentabilité ont diminué.;;;;;;;;;;;;x
wafrica.49.a;Not good.;Pas bon.;;;;;;;;;;;;x
wafrica.50.desc;In the province of Mali, there are abundant gold deposits in an area known as "Bondou". Whoever controls these will reap great profit!;Dans la province du Mali, il y a d'abondants gisements d'or dans une région connue sous le nom de "Bondou". Celui qui les contrôle en tirera un grand profit !;;;;;;;;;;;;x
wafrica.50.a;I see.;Je vois.;;;;;;;;;;;;x
wafrica.51.desc;Thanks to efficient and effective administration, the gold mines at Bondou have increased their yield and thus have also increased their profitability.;Grâce à une administration efficace et efficiente, les mines d'or de Bondou ont augmenté leur rendement et donc leur rentabilité.;;;;;;;;;;;;x
wafrica.51.a;Good.;Bien.;;;;;;;;;;;;x
wafrica.52.desc;Unfortunately, the gold mines at Bondou are no longer as effectively managed, and thus their yield and profitability has decreased.;Malheureusement, les mines d'or de Bondou ne sont plus gérées aussi efficacement et leur rendement et leur rentabilité ont diminué.;;;;;;;;;;;;x
wafrica.52.a;Not good.;Pas bon.;;;;;;;;;;;;x
wafrica.53.desc;In the province of Idjil, there is an abundance of salt. Whoever controls the salt mines will reap great profit!;Dans la province d'Idjil, il y a une abondance de sel. Celui qui contrôle les mines de sel en tirera un grand profit !;;;;;;;;;;;;x
wafrica.53.a;I see.;Je vois.;;;;;;;;;;;;x
wafrica.54.desc;Thanks to efficient and effective administration, the salt mines at Idjil have increased their yield and thus have also increased their profitability.;Grâce à une administration efficace et efficiente, les mines de sel d'Idjil ont augmenté leur rendement et donc leur rentabilité.;;;;;;;;;;;;x
wafrica.54.a;Good.;Bien.;;;;;;;;;;;;x
wafrica.55.desc;Unfortunately, the salt mines at Idjil are no longer as effectively managed, and thus their yield and profitability has decreased.;Malheureusement, les mines de sel d'Idjil ne sont plus gérées aussi efficacement et leur rendement et leur rentabilité ont diminué.;;;;;;;;;;;;x
wafrica.55.a;Not good.;Pas bon.;;;;;;;;;;;;x
wafrica.56.desc;In the province of Taghaza, there is an abundance of salt. Whoever controls the salt mines will reap great profit!;Dans la province de Taghaza, il y a une abondance de sel. Celui qui contrôle les mines de sel en tirera un grand profit !;;;;;;;;;;;;x
wafrica.56.a;I see.;Je vois.;;;;;;;;;;;;x
wafrica.57.desc;Thanks to efficient and effective administration, the salt mines at Taghaza have increased their yield and thus have also increased their profitability.;Grâce à une administration efficace et efficiente, les mines de sel de Taghaza ont augmenté leur rendement et donc leur rentabilité.;;;;;;;;;;;;x
wafrica.57.a;Good.;Bien.;;;;;;;;;;;;x
wafrica.58.desc;Unfortunately, the salt mines at Taghaza are no longer as effectively managed, and thus their yield and profitability has decreased.;Malheureusement, les mines de sel de Taghaza ne sont plus gérées aussi efficacement et leur rendement et leur rentabilité ont diminué.;;;;;;;;;;;;x
wafrica.58.a;Not good.;Pas bon.;;;;;;;;;;;;x
